"Time EST","Wind Speed (km/h)","Wind Direction","Wind Gusts (km/h)"
"2017-12-01 10:59","4","WSW","14"
"2017-12-01 11:18","10","SW","18"
"2017-12-01 11:38","4","SW","18"
"2017-12-01 11:59","12","W","24"
"2017-12-01 12:18","14","W","20"
"2017-12-01 12:38","16","W","26"
"2017-12-01 12:58","13","W","19"
"2017-12-01 13:18","13","W","22"
"2017-12-01 13:38","7","W","14"
"2017-12-01 13:48","12","W","19"
"2017-12-01 13:58","12","W","16"
"2017-12-01 14:08","13","W","20"
"2017-12-01 14:18","7","WSW","14"
"2017-12-01 14:28","5","SW","13"
"2017-12-01 14:38","8","W","14"
"2017-12-01 14:48","9","W","15"
"2017-12-01 14:58","9","W","14"
"2017-12-01 15:08","3","W","14"
"2017-12-01 15:18","5","WSW","12"
"2017-12-01 15:28","6","W","14"
"2017-12-01 15:38","3","SW","8"
"2017-12-01 15:48","2","SW","8"
"2017-12-01 15:58","1","NW","6"
"2017-12-01 16:08","0","WSW","6"
"2017-12-01 16:18","1","S","3"
"2017-12-01 16:28","1","S","3"
"2017-12-01 16:38","0","S","0"
"2017-12-01 16:48","0","SSE","3"
"2017-12-01 16:59","0","SSW","2"
"2017-12-01 17:08","0","WSW","2"
"2017-12-01 17:18","1","SSW","3"
"2017-12-01 17:28","0","WSW","3"
"2017-12-01 17:38","3","W","3"
"2017-12-01 17:48","0","SW","3"
"2017-12-01 17:59","0","WNW","0"
"2017-12-01 18:08","0","SW","0"
"2017-12-01 18:18","0","S","1"
"2017-12-01 18:28","0","WSW","3"
"2017-12-01 18:38","0","SE","3"
"2017-12-01 18:48","0","SSW","3"
"2017-12-01 18:59","0","SE","0"
"2017-12-01 19:08","0","SE","0"
"2017-12-01 19:18","0","S","0"
"2017-12-01 19:28","0","S","1"
"2017-12-01 19:38","0","S","0"
"2017-12-01 19:48","0","ESE","0"
"2017-12-01 19:59","0","S","4"
"2017-12-01 20:08","0","S","3"
"2017-12-01 20:18","0","SSE","1"
"2017-12-01 20:28","1","SSE","3"
"2017-12-01 20:38","1","SSE","5"
"2017-12-01 20:48","1","S","4"
"2017-12-01 20:59","0","SSE","4"
"2017-12-01 21:08","0","SSE","4"
"2017-12-01 21:18","1","SSE","3"
"2017-12-01 21:28","0","SSE","8"
"2017-12-01 21:38","1","SW","5"
"2017-12-01 21:48","2","S","7"
"2017-12-01 21:58","1","S","8"
"2017-12-01 22:08","0","S","5"
"2017-12-01 22:18","3","S","6"
"2017-12-01 22:28","3","SSE","6"
"2017-12-01 22:38","1","SSE","8"
"2017-12-01 22:48","2","S","7"
"2017-12-01 22:59","4","S","10"
"2017-12-01 23:08","3","S","9"
"2017-12-01 23:18","1","S","10"
"2017-12-01 23:28","1","SSE","9"
"2017-12-01 23:38","3","SSW","6"
"2017-12-01 23:48","2","S","6"
"2017-12-01 23:58","0","SW","4"
"2017-12-02 00:08","0","ESE","4"
"2017-12-02 00:18","0","E","3"
"2017-12-02 00:28","0","ESE","1"
"2017-12-02 00:38","0","ESE","0"
"2017-12-02 00:48","0","ESE","0"
"2017-12-02 00:59","0","SE","0"
"2017-12-02 01:08","0","SSE","0"
"2017-12-02 01:18","0","SE","0"
"2017-12-02 01:28","0","ESE","0"
"2017-12-02 01:38","0","ESE","0"
"2017-12-02 01:48","0","ENE","0"
"2017-12-02 01:59","0","W","0"
"2017-12-02 02:08","0","ENE","0"
"2017-12-02 02:18","0","E","0"
"2017-12-02 02:28","0","E","0"
"2017-12-02 02:38","0","ESE","0"
"2017-12-02 02:48","0","E","0"
"2017-12-02 02:59","0","E","0"
"2017-12-02 03:08","0","ENE","0"
"2017-12-02 03:18","0","E","8"
"2017-12-02 03:28","0","SE","4"
"2017-12-02 03:38","0","ENE","5"
"2017-12-02 03:48","0","SE","4"
"2017-12-02 03:59","0","E","3"
"2017-12-02 04:08","0","NE","0"
"2017-12-02 04:18","0","ENE","0"
"2017-12-02 04:28","0","NE","0"
"2017-12-02 04:38","0","ENE","0"
"2017-12-02 04:48","0","NE","0"
"2017-12-02 04:59","0","E","0"
"2017-12-02 05:08","0","NE","0"
"2017-12-02 05:18","0","ESE","0"
"2017-12-02 05:28","0","E","0"
"2017-12-02 05:38","0","ENE","0"
"2017-12-02 05:48","0","SE","0"
"2017-12-02 05:59","0","ESE","0"
"2017-12-02 06:08","0","ENE","0"
"2017-12-02 06:18","1","SE","6"
"2017-12-02 06:28","0","ESE","6"
"2017-12-02 06:38","0","SE","5"
"2017-12-02 06:48","0","SE","5"
"2017-12-02 06:59","0","NE","0"
"2017-12-02 07:08","0","E","0"
"2017-12-02 07:18","0","SE","0"
"2017-12-02 07:28","0","SE","0"
"2017-12-02 07:38","0","E","0"
"2017-12-02 07:48","0","S","0"
"2017-12-02 07:59","0","ESE","0"
"2017-12-02 08:08","0","ENE","0"
"2017-12-02 08:18","0","E","0"
"2017-12-02 08:28","0","ESE","0"
"2017-12-02 08:38","0","ESE","0"
"2017-12-02 08:48","0","NE","0"
"2017-12-02 08:58","0","ENE","1"
"2017-12-02 09:08","0","E","4"
"2017-12-02 09:18","0","ESE","4"
"2017-12-02 09:28","0","ESE","0"
"2017-12-02 09:38","0","ESE","0"
"2017-12-02 09:48","0","ESE","0"
"2017-12-02 09:59","0","NE","0"
"2017-12-02 10:08","0","SE","0"
"2017-12-02 10:18","0","ESE","0"
"2017-12-02 10:28","0","SSE","0"
"2017-12-02 10:38","0","N","0"
"2017-12-02 10:48","0","E","0"
"2017-12-02 10:59","0","N","0"
"2017-12-02 11:08","0","ENE","0"
"2017-12-02 11:18","2","SE","5"
"2017-12-02 11:28","0","ENE","5"
"2017-12-02 11:38","0","ENE","0"
"2017-12-02 11:48","0","E","0"
"2017-12-02 11:59","0","ESE","0"
"2017-12-02 12:08","0","NE","0"
"2017-12-02 12:18","0","WNW","0"
"2017-12-02 12:28","0","N","0"
"2017-12-02 12:38","0","S","0"
"2017-12-02 12:48","1","NNE","5"
"2017-12-02 12:59","2","NE","4"
"2017-12-02 13:08","0","ESE","4"
"2017-12-02 13:18","2","E","5"
"2017-12-02 13:28","2","W","4"
"2017-12-02 13:38","1","SW","3"
"2017-12-02 13:48","3","ENE","6"
"2017-12-02 13:59","3","NNE","7"
"2017-12-02 14:08","2","N","7"
"2017-12-02 14:18","1","WNW","6"
"2017-12-02 14:28","1","NNE","5"
"2017-12-02 14:38","0","SE","3"
"2017-12-02 14:48","1","SW","4"
"2017-12-02 14:58","0","SSW","0"
"2017-12-02 15:08","0","SW","0"
"2017-12-02 15:18","1","ENE","5"
"2017-12-02 15:28","2","N","5"
"2017-12-02 15:38","0","ENE","4"
"2017-12-02 15:48","1","NE","3"
"2017-12-02 15:59","0","NNE","3"
"2017-12-02 16:08","0","NE","2"
"2017-12-02 16:18","3","E","6"
"2017-12-02 16:28","3","E","6"
"2017-12-02 16:38","2","E","5"
"2017-12-02 16:48","4","ENE","7"
"2017-12-02 16:59","3","ENE","5"
"2017-12-02 17:08","3","ENE","5"
"2017-12-02 17:18","3","E","5"
"2017-12-02 17:28","1","E","4"
"2017-12-02 17:38","0","SE","3"
"2017-12-02 17:48","0","ENE","4"
"2017-12-02 17:59","0","WSW","0"
"2017-12-02 18:08","1","NE","2"
"2017-12-02 18:18","0","ENE","2"
"2017-12-02 18:28","0","ESE","2"
"2017-12-02 18:38","0","ENE","0"
"2017-12-02 18:48","0","ENE","0"
"2017-12-02 18:59","0","NW","0"
"2017-12-02 19:08","0","SW","2"
"2017-12-02 19:18","0","N","4"
"2017-12-02 19:28","1","NNE","3"
"2017-12-02 19:38","0","ESE","2"
"2017-12-02 19:48","0","NE","2"
"2017-12-02 19:59","3","ENE","4"
"2017-12-02 20:08","0","E","4"
"2017-12-02 20:18","0","ESE","3"
"2017-12-02 20:28","0","ENE","4"
"2017-12-02 20:38","0","ESE","0"
"2017-12-02 20:48","0","ESE","0"
"2017-12-02 20:58","0","SE","0"
"2017-12-02 21:08","0","SE","0"
"2017-12-02 21:18","0","S","0"
"2017-12-02 21:28","0","SE","0"
"2017-12-02 21:38","0","S","0"
"2017-12-02 21:48","1","SSE","3"
"2017-12-02 21:58","0","S","3"
"2017-12-02 22:08","0","SSE","0"
"2017-12-02 22:18","0","SSW","0"
"2017-12-02 22:28","0","SW","0"
"2017-12-02 22:38","0","NW","0"
"2017-12-02 22:48","0","W","0"
"2017-12-02 22:59","0","SSE","0"
"2017-12-02 23:08","0","S","5"
"2017-12-02 23:18","1","ESE","5"
"2017-12-02 23:28","1","SSE","4"
"2017-12-02 23:38","1","SSW","6"
"2017-12-02 23:48","1","S","4"
"2017-12-02 23:58","3","S","11"
"2017-12-03 00:08","0","S","10"
"2017-12-03 00:18","2","SSW","8"
"2017-12-03 00:28","4","S","9"
"2017-12-03 00:38","0","S","7"
"2017-12-03 00:48","2","SSW","5"
"2017-12-03 00:58","3","SSW","9"
"2017-12-03 01:08","2","SSE","6"
"2017-12-03 01:18","2","SE","10"
"2017-12-03 01:28","0","SSE","9"
"2017-12-03 01:38","3","SSE","12"
"2017-12-03 01:48","4","SSE","12"
"2017-12-03 01:59","1","S","6"
"2017-12-03 02:08","1","S","7"
"2017-12-03 02:18","3","ESE","11"
"2017-12-03 02:28","6","S","14"
"2017-12-03 02:38","1","S","8"
"2017-12-03 02:48","3","S","7"
"2017-12-03 02:58","3","W","9"
"2017-12-03 03:08","3","SW","10"
"2017-12-03 03:18","1","S","10"
"2017-12-03 03:28","6","S","10"
"2017-12-03 03:38","1","S","9"
"2017-12-03 03:48","1","SSW","11"
"2017-12-03 03:58","6","SSE","14"
"2017-12-03 04:08","3","SSE","14"
"2017-12-03 04:18","2","SSW","9"
"2017-12-03 04:28","0","S","9"
"2017-12-03 04:38","1","SSW","6"
"2017-12-03 04:48","4","SSW","15"
"2017-12-03 04:59","2","SSE","8"
"2017-12-03 05:08","4","SE","11"
"2017-12-03 05:18","5","S","12"
"2017-12-03 05:28","5","SSW","19"
"2017-12-03 05:38","2","S","10"
"2017-12-03 05:48","2","S","10"
"2017-12-03 05:59","4","S","11"
"2017-12-03 06:08","4","SSW","11"
"2017-12-03 06:18","3","SSW","9"
"2017-12-03 06:28","1","SW","8"
"2017-12-03 06:38","3","SW","8"
"2017-12-03 06:48","2","SSE","11"
"2017-12-03 06:58","3","SSW","13"
"2017-12-03 07:08","3","S","13"
"2017-12-03 07:18","2","SW","12"
"2017-12-03 07:28","2","SSW","9"
"2017-12-03 07:38","5","S","12"
"2017-12-03 07:48","4","SSW","12"
"2017-12-03 07:58","4","S","12"
"2017-12-03 08:08","3","W","12"
"2017-12-03 08:18","5","S","14"
"2017-12-03 08:28","0","W","9"
"2017-12-03 08:38","1","SSW","16"
"2017-12-03 08:48","4","SSE","16"
"2017-12-03 08:59","5","S","18"
"2017-12-03 09:08","6","S","18"
"2017-12-03 09:18","8","S","20"
"2017-12-03 09:28","5","S","20"
"2017-12-03 09:38","9","SSW","21"
"2017-12-03 09:48","5","SSE","21"
"2017-12-03 09:59","10","S","21"
"2017-12-03 10:08","9","S","21"
"2017-12-03 10:18","10","S","27"
"2017-12-03 10:28","8","S","27"
"2017-12-03 10:38","5","SSE","19"
"2017-12-03 10:48","8","SSE","17"
"2017-12-03 10:58","9","SSE","19"
"2017-12-03 11:08","9","SSW","22"
"2017-12-03 11:18","6","S","15"
"2017-12-03 11:28","6","SW","15"
"2017-12-03 11:38","6","S","23"
"2017-12-03 11:48","10","SSW","24"
"2017-12-03 11:58","6","SSE","19"
"2017-12-03 12:08","4","SSE","20"
"2017-12-03 12:18","7","S","20"
"2017-12-03 12:28","9","S","21"
"2017-12-03 12:38","7","SSW","22"
"2017-12-03 12:48","5","SSW","22"
"2017-12-03 12:58","6","WSW","16"
"2017-12-03 13:08","8","SW","17"
"2017-12-03 13:18","7","W","16"
"2017-12-03 13:28","7","WSW","15"
"2017-12-03 13:38","5","SSW","20"
"2017-12-03 13:48","6","W","16"
"2017-12-03 13:58","10","WSW","22"
"2017-12-03 14:08","8","SW","22"
"2017-12-03 14:18","8","S","21"
"2017-12-03 14:28","7","W","21"
"2017-12-03 14:38","4","SSW","15"
"2017-12-03 14:48","8","SW","20"
"2017-12-03 14:58","6","SW","19"
"2017-12-03 15:08","5","SW","19"
"2017-12-03 15:18","7","SW","13"
"2017-12-03 15:28","7","SW","19"
"2017-12-03 15:39","1","ESE","9"
"2017-12-03 15:48","1","SE","6"
"2017-12-03 15:58","4","SSW","12"
"2017-12-03 16:08","3","SW","12"
"2017-12-03 16:18","1","SSW","8"
"2017-12-03 16:28","1","SW","6"
"2017-12-03 16:38","0","S","5"
"2017-12-03 16:48","3","S","5"
"2017-12-03 16:58","0","SW","8"
"2017-12-03 17:08","1","S","4"
"2017-12-03 17:18","2","SW","6"
"2017-12-03 17:28","2","SSW","6"
"2017-12-03 17:38","3","S","8"
"2017-12-03 17:48","3","S","8"
"2017-12-03 17:58","2","S","6"
"2017-12-03 18:08","1","SSE","6"
"2017-12-03 18:18","1","SSE","5"
"2017-12-03 18:28","2","S","8"
"2017-12-03 18:38","5","S","9"
"2017-12-03 18:48","3","SSE","9"
"2017-12-03 19:00","7","SSE","10"
"2017-12-03 19:08","4","S","13"
"2017-12-03 19:18","4","S","10"
"2017-12-03 19:28","3","S","10"
"2017-12-03 19:38","3","SE","8"
"2017-12-03 19:48","3","S","9"
"2017-12-03 20:00","2","SSW","7"
"2017-12-03 20:08","3","SSW","7"
"2017-12-03 20:19","2","S","7"
"2017-12-03 20:28","3","S","6"
"2017-12-03 20:38","0","S","5"
"2017-12-03 20:48","1","ESE","5"
"2017-12-03 20:58","2","SE","6"
"2017-12-03 21:08","0","SE","5"
"2017-12-03 21:19","3","SSE","9"
"2017-12-03 21:28","1","SE","9"
"2017-12-03 21:38","2","S","7"
"2017-12-03 21:48","3","ESE","9"
"2017-12-03 22:00","1","SSE","8"
"2017-12-03 22:08","2","SE","8"
"2017-12-03 22:18","1","SE","4"
"2017-12-03 22:28","0","ESE","4"
"2017-12-03 22:38","1","ESE","5"
"2017-12-03 22:48","1","SE","5"
"2017-12-03 22:58","0","ESE","5"
"2017-12-03 23:08","1","E","5"
"2017-12-03 23:18","0","ENE","4"
"2017-12-03 23:28","1","ESE","5"
"2017-12-03 23:38","2","E","7"
"2017-12-03 23:48","1","E","7"
"2017-12-03 23:59","0","E","4"
"2017-12-04 00:08","0","E","4"
"2017-12-04 00:18","0","ENE","0"
"2017-12-04 00:28","0","E","0"
"2017-12-04 00:38","0","ENE","0"
"2017-12-04 00:48","0","ENE","0"
"2017-12-04 00:58","0","E","7"
"2017-12-04 01:08","0","ENE","7"
"2017-12-04 01:18","3","SE","7"
"2017-12-04 01:28","1","E","7"
"2017-12-04 01:38","3","ESE","7"
"2017-12-04 01:48","1","ENE","7"
"2017-12-04 02:00","0","E","8"
"2017-12-04 02:08","1","NE","8"
"2017-12-04 02:19","1","ESE","9"
"2017-12-04 02:28","4","SSE","9"
"2017-12-04 02:39","2","SE","9"
"2017-12-04 02:48","2","SE","8"
"2017-12-04 02:58","4","E","9"
"2017-12-04 03:08","0","NE","9"
"2017-12-04 03:18","1","E","6"
"2017-12-04 03:28","2","ESE","9"
"2017-12-04 03:38","1","ENE","8"
"2017-12-04 03:48","2","E","6"
"2017-12-04 04:00","2","E","6"
"2017-12-04 04:08","2","E","6"
"2017-12-04 04:18","3","ESE","8"
"2017-12-04 04:28","3","E","7"
"2017-12-04 04:38","2","ENE","8"
"2017-12-04 04:48","3","E","7"
"2017-12-04 05:00","5","ESE","9"
"2017-12-04 05:08","1","E","9"
"2017-12-04 05:19","4","E","7"
"2017-12-04 05:28","1","E","7"
"2017-12-04 05:38","2","E","5"
"2017-12-04 05:48","3","E","7"
"2017-12-04 06:00","5","E","9"
"2017-12-04 06:08","5","E","9"
"2017-12-04 06:18","5","E","9"
"2017-12-04 06:28","6","ESE","10"
"2017-12-04 06:38","6","ESE","11"
"2017-12-04 06:48","4","ENE","11"
"2017-12-04 07:00","5","E","10"
"2017-12-04 07:08","4","ENE","10"
"2017-12-04 07:19","4","NE","11"
"2017-12-04 07:28","7","E","13"
"2017-12-04 07:38","6","E","10"
"2017-12-04 07:48","6","E","12"
"2017-12-04 08:00","6","ESE","11"
"2017-12-04 08:08","6","E","11"
"2017-12-04 08:19","5","E","14"
"2017-12-04 08:28","4","E","10"
"2017-12-04 08:39","6","E","12"
"2017-12-04 08:48","6","E","11"
"2017-12-04 08:58","5","E","9"
"2017-12-04 09:08","7","ENE","10"
"2017-12-04 09:19","6","E","14"
"2017-12-04 09:28","6","ENE","14"
"2017-12-04 09:38","6","E","14"
"2017-12-04 09:48","7","E","17"
"2017-12-04 09:59","6","ENE","16"
"2017-12-04 10:08","5","ESE","12"
"2017-12-04 10:19","9","ENE","17"
"2017-12-04 10:28","8","E","17"
"2017-12-04 10:38","9","E","16"
"2017-12-04 10:48","6","E","16"
"2017-12-04 10:58","8","E","17"
"2017-12-04 11:08","8","E","17"
"2017-12-04 11:19","9","ENE","15"
"2017-12-04 11:28","10","E","17"
"2017-12-04 11:38","8","E","17"
"2017-12-04 11:48","8","ENE","16"
"2017-12-04 12:00","8","ENE","20"
"2017-12-04 12:08","8","ENE","15"
"2017-12-04 12:19","11","ENE","19"
"2017-12-04 12:28","9","ENE","19"
"2017-12-04 12:39","7","ENE","14"
"2017-12-04 12:48","6","E","15"
"2017-12-04 12:58","8","E","19"
"2017-12-04 13:08","9","ESE","19"
"2017-12-04 13:18","11","ENE","19"
"2017-12-04 13:28","6","E","17"
"2017-12-04 13:38","6","E","20"
"2017-12-04 13:48","8","ESE","20"
"2017-12-04 14:00","8","E","17"
"2017-12-04 14:08","11","ENE","17"
"2017-12-04 14:19","9","ENE","19"
"2017-12-04 14:28","9","E","15"
"2017-12-04 14:39","7","ENE","17"
"2017-12-04 14:48","7","ENE","17"
"2017-12-04 14:58","8","E","14"
"2017-12-04 15:08","10","E","21"
"2017-12-04 15:19","8","E","18"
"2017-12-04 15:28","9","ENE","17"
"2017-12-04 15:39","7","ENE","16"
"2017-12-04 15:48","8","E","16"
"2017-12-04 16:00","8","E","15"
"2017-12-04 16:08","9","ESE","15"
"2017-12-04 16:19","9","ESE","16"
"2017-12-04 16:28","9","E","18"
"2017-12-04 16:39","10","E","19"
"2017-12-04 16:48","8","ENE","15"
"2017-12-04 17:00","9","ENE","17"
"2017-12-04 17:08","8","ESE","17"
"2017-12-04 17:19","10","ENE","18"
"2017-12-04 17:28","15","ENE","21"
"2017-12-04 17:39","10","ENE","20"
"2017-12-04 17:48","10","ENE","19"
"2017-12-04 17:59","9","E","17"
"2017-12-04 18:08","10","E","20"
"2017-12-04 18:19","10","ENE","19"
"2017-12-04 18:28","11","ENE","17"
"2017-12-04 18:39","10","E","22"
"2017-12-04 18:48","10","ENE","22"
"2017-12-04 18:58","10","ENE","21"
"2017-12-04 19:08","11","ENE","21"
"2017-12-04 19:19","11","ENE","19"
"2017-12-04 19:28","12","ENE","18"
"2017-12-04 19:39","9","E","20"
"2017-12-04 19:48","12","ENE","20"
"2017-12-04 20:00","9","E","22"
"2017-12-04 20:08","12","ENE","19"
"2017-12-04 20:19","12","ENE","26"
"2017-12-04 20:28","12","ENE","26"
"2017-12-04 20:38","11","ENE","22"
"2017-12-04 20:48","12","ENE","22"
"2017-12-04 21:00","10","E","21"
"2017-12-04 21:08","11","E","20"
"2017-12-04 21:19","13","E","24"
"2017-12-04 21:28","10","ENE","24"
"2017-12-04 21:39","13","ENE","24"
"2017-12-04 21:48","12","E","23"
"2017-12-04 21:58","10","E","23"
"2017-12-04 22:08","8","E","18"
"2017-12-04 22:19","6","E","21"
"2017-12-04 22:28","7","E","19"
"2017-12-04 22:38","7","E","17"
"2017-12-04 22:48","6","E","14"
"2017-12-04 23:00","6","E","11"
"2017-12-04 23:08","5","ESE","11"
"2017-12-04 23:19","9","E","15"
"2017-12-04 23:28","8","E","15"
"2017-12-04 23:39","4","E","11"
"2017-12-04 23:48","5","E","11"
"2017-12-05 00:00","4","ESE","13"
"2017-12-05 00:08","4","E","13"
"2017-12-05 00:18","8","ENE","15"
"2017-12-05 00:28","7","E","15"
"2017-12-05 00:39","9","ESE","15"
"2017-12-05 00:48","8","E","16"
"2017-12-05 00:58","7","E","22"
"2017-12-05 01:08","4","SSE","17"
"2017-12-05 01:19","3","WSW","16"
"2017-12-05 01:28","4","W","8"
"2017-12-05 01:39","2","ENE","3"
"2017-12-05 01:48","2","NNE","3"
"2017-12-05 02:00","0","NE","0"
"2017-12-05 02:08","0","S","0"
"2017-12-05 02:19","1","NE","3"
"2017-12-05 02:28","2","E","4"
"2017-12-05 02:39","4","E","6"
"2017-12-05 02:48","7","ENE","9"
"2017-12-05 02:58","4","ENE","6"
"2017-12-05 03:08","5","ENE","8"
"2017-12-05 03:19","3","W","5"
"2017-12-05 03:28","1","NNE","5"
"2017-12-05 03:38","3","NW","5"
"2017-12-05 03:48","0","NW","5"
"2017-12-05 03:58","2","NE","5"
"2017-12-05 04:08","0","ENE","6"
"2017-12-05 04:19","4","NNE","7"
"2017-12-05 04:28","3","ENE","7"
"2017-12-05 04:39","4","NNW","7"
"2017-12-05 04:48","1","ENE","8"
"2017-12-05 05:00","0","ENE","7"
"2017-12-05 05:08","0","ENE","6"
"2017-12-05 05:19","3","NE","6"
"2017-12-05 05:28","4","ENE","7"
"2017-12-05 05:38","2","N","4"
"2017-12-05 05:48","1","ENE","5"
"2017-12-05 05:58","0","N","5"
"2017-12-05 06:08","0","W","0"
"2017-12-05 06:19","5","WNW","7"
"2017-12-05 06:28","4","WNW","7"
"2017-12-05 06:39","5","WNW","11"
"2017-12-05 06:48","6","W","11"
"2017-12-05 07:00","9","W","14"
"2017-12-05 07:08","9","WNW","17"
"2017-12-05 07:19","16","W","27"
"2017-12-05 07:28","11","W","27"
"2017-12-05 07:39","12","W","30"
"2017-12-05 07:48","18","W","30"
"2017-12-05 08:01","12","W","26"
"2017-12-05 08:08","13","WNW","26"
"2017-12-05 08:19","17","N/A","31"
"2017-12-05 08:28","18","W","31"
"2017-12-05 08:39","22","W","48"
"2017-12-05 08:48","26","WNW","48"
"2017-12-05 08:58","21","W","44"
"2017-12-05 09:08","29","W","49"
"2017-12-05 09:19","30","W","50"
"2017-12-05 09:28","26","W","50"
"2017-12-05 09:39","26","W","40"
"2017-12-05 09:48","26","W","39"
"2017-12-05 09:58","18","W","42"
"2017-12-05 10:08","17","W","41"
"2017-12-05 10:19","23","W","47"
"2017-12-05 10:28","18","W","41"
"2017-12-05 10:39","18","W","46"
"2017-12-05 10:48","23","W","39"
"2017-12-05 10:59","27","W","51"
"2017-12-05 11:08","17","W","51"
"2017-12-05 11:18","22","W","40"
"2017-12-05 11:28","21","WSW","41"
"2017-12-05 11:39","27","W","48"
"2017-12-05 11:48","19","W","48"
"2017-12-05 11:58","23","WNW","43"
"2017-12-05 12:08","21","W","43"
"2017-12-05 12:19","20","W","38"
"2017-12-05 12:28","14","W","35"
"2017-12-05 12:39","28","W","42"
"2017-12-05 12:48","24","W","48"
"2017-12-05 12:58","29","W","47"
"2017-12-05 13:08","23","WNW","46"
"2017-12-05 13:18","19","W","38"
"2017-12-05 13:28","18","W","38"
"2017-12-05 13:39","27","W","44"
"2017-12-05 13:48","25","W","46"
"2017-12-05 13:58","29","W","56"
"2017-12-05 14:08","29","W","56"
"2017-12-05 14:19","31","W","48"
"2017-12-05 14:28","25","W","48"
"2017-12-05 14:39","24","WSW","41"
"2017-12-05 14:48","23","W","41"
"2017-12-05 15:01","20","W","46"
"2017-12-05 15:08","24","W","46"
"2017-12-05 15:20","22","W","41"
"2017-12-05 15:28","29","W","42"
"2017-12-05 15:39","23","W","51"
"2017-12-05 15:48","13","WNW","51"
"2017-12-05 16:01","28","W","45"
"2017-12-05 16:08","23","W","45"
"2017-12-05 16:18","28","W","55"
"2017-12-05 16:28","27","W","55"
"2017-12-05 16:39","21","W","46"
"2017-12-05 16:48","27","W","45"
"2017-12-05 17:01","29","W","46"
"2017-12-05 17:08","30","W","46"
"2017-12-05 17:20","20","W","43"
"2017-12-05 17:28","22","W","45"
"2017-12-05 17:39","23","W","39"
"2017-12-05 17:48","23","W","39"
"2017-12-05 17:59","21","W","48"
"2017-12-05 18:08","21","W","40"
"2017-12-05 18:19","30","W","43"
"2017-12-05 18:28","26","W","44"
"2017-12-05 18:39","21","W","44"
"2017-12-05 18:48","21","WSW","44"
"2017-12-05 18:59","23","WSW","43"
"2017-12-05 19:08","23","W","41"
"2017-12-05 19:19","22","W","43"
"2017-12-05 19:28","26","W","39"
"2017-12-05 19:39","23","W","42"
"2017-12-05 19:48","22","W","42"
"2017-12-05 20:01","26","W","39"
"2017-12-05 20:08","22","W","39"
"2017-12-05 20:19","24","W","39"
"2017-12-05 20:28","22","W","36"
"2017-12-05 20:39","21","WSW","35"
"2017-12-05 20:48","22","W","43"
"2017-12-05 21:01","24","W","38"
"2017-12-05 21:08","21","W","38"
"2017-12-05 21:20","19","W","35"
"2017-12-05 21:28","19","W","29"
"2017-12-05 21:39","19","W","30"
"2017-12-05 21:48","19","W","31"
"2017-12-05 22:01","22","W","38"
"2017-12-05 22:08","21","W","38"
"2017-12-05 22:19","23","W","34"
"2017-12-05 22:28","19","W","34"
"2017-12-05 22:39","20","W","36"
"2017-12-05 22:48","17","W","36"
"2017-12-05 23:01","20","W","42"
"2017-12-05 23:08","19","W","42"
"2017-12-05 23:19","18","W","35"
"2017-12-05 23:28","19","W","35"
"2017-12-05 23:39","19","W","32"
"2017-12-05 23:48","22","W","33"
"2017-12-06 00:01","20","WSW","36"
"2017-12-06 00:08","18","W","36"
"2017-12-06 00:20","19","W","33"
"2017-12-06 00:28","17","W","33"
"2017-12-06 00:38","16","W","30"
"2017-12-06 00:48","15","W","32"
"2017-12-06 00:59","17","W","32"
"2017-12-06 01:08","14","W","32"
"2017-12-06 01:18","16","W","30"
"2017-12-06 01:28","22","W","31"
"2017-12-06 01:39","16","W","34"
"2017-12-06 01:48","17","W","30"
"2017-12-06 02:01","23","W","32"
"2017-12-06 02:08","18","W","32"
"2017-12-06 02:20","25","W","35"
"2017-12-06 02:28","21","W","36"
"2017-12-06 02:40","23","W","34"
"2017-12-06 02:48","18","W","34"
"2017-12-06 03:02","22","W","35"
"2017-12-06 03:08","23","W","35"
"2017-12-06 03:20","18","W","30"
"2017-12-06 03:28","17","W","27"
"2017-12-06 03:39","15","W","32"
"2017-12-06 03:48","13","W","32"
"2017-12-06 03:59","24","W","31"
"2017-12-06 04:08","17","W","31"
"2017-12-06 04:19","18","W","32"
"2017-12-06 04:28","18","W","34"
"2017-12-06 04:40","17","W","32"
"2017-12-06 04:48","14","W","27"
"2017-12-06 05:01","15","W","33"
"2017-12-06 05:08","15","W","33"
"2017-12-06 05:20","12","W","28"
"2017-12-06 05:28","19","W","36"
"2017-12-06 05:39","14","W","30"
"2017-12-06 05:48","12","W","30"
"2017-12-08 11:00","6","W","12"
"2017-12-08 11:08","5","WNW","12"
"2017-12-08 11:19","3","W","11"
"2017-12-08 11:28","3","WNW","9"
"2017-12-08 11:38","6","W","12"
"2017-12-08 11:48","10","W","15"
"2017-12-08 12:00","12","W","18"
"2017-12-08 12:08","10","WNW","18"
"2017-12-08 12:18","8","WNW","18"
"2017-12-08 12:28","8","WNW","18"
"2017-12-08 12:39","3","NW","15"
"2017-12-08 12:48","5","W","9"
"2017-12-08 13:00","5","NW","14"
"2017-12-08 13:08","6","W","14"
"2017-12-08 13:18","6","WNW","10"
"2017-12-08 13:28","6","W","13"
"2017-12-08 13:38","6","W","13"
"2017-12-08 13:48","6","W","13"
"2017-12-08 14:00","6","W","10"
"2017-12-08 14:08","8","WSW","11"
