"Time EST","Pressure (kPa)"
"2018-01-01 00:00","98.88"
"2018-01-01 00:10","98.87"
"2018-01-01 00:20","98.86"
"2018-01-01 00:30","98.84"
"2018-01-01 00:40","98.83"
"2018-01-01 00:50","98.82"
"2018-01-01 00:55","98.81"
"2018-01-01 01:00","98.81"
"2018-01-01 01:10","98.80"
"2018-01-01 01:20","98.77"
"2018-01-01 01:30","98.78"
"2018-01-01 01:40","98.77"
"2018-01-01 01:50","98.77"
"2018-01-01 01:55","98.78"
"2018-01-01 02:00","98.77"
"2018-01-01 02:10","98.77"
"2018-01-01 02:20","98.76"
"2018-01-01 02:30","98.76"
"2018-01-01 02:40","98.77"
"2018-01-01 02:50","98.77"
"2018-01-01 02:55","98.77"
"2018-01-01 03:00","98.77"
"2018-01-01 03:10","98.75"
"2018-01-01 03:20","98.75"
"2018-01-01 03:30","98.75"
"2018-01-01 03:40","98.73"
"2018-01-01 03:50","98.72"
"2018-01-01 03:55","98.71"
"2018-01-01 04:00","98.72"
"2018-01-01 04:10","98.71"
"2018-01-01 04:20","98.71"
"2018-01-01 04:30","98.71"
"2018-01-01 04:40","98.69"
"2018-01-01 04:50","98.67"
"2018-01-01 04:55","98.65"
"2018-01-01 05:00","98.66"
"2018-01-01 05:10","98.65"
"2018-01-01 05:20","98.64"
"2018-01-01 05:30","98.64"
"2018-01-01 05:40","98.65"
"2018-01-01 05:50","98.64"
"2018-01-01 05:55","98.64"
"2018-01-01 06:00","98.64"
"2018-01-01 06:10","98.63"
"2018-01-01 06:20","98.63"
"2018-01-01 06:30","98.63"
"2018-01-01 06:40","98.63"
"2018-01-01 06:50","98.62"
"2018-01-01 06:55","98.63"
"2018-01-01 07:00","98.63"
"2018-01-01 07:11","98.61"
"2018-01-01 07:20","98.60"
"2018-01-01 07:30","98.58"
"2018-01-01 07:40","98.58"
"2018-01-01 07:50","98.56"
"2018-01-01 07:55","98.55"
"2018-01-01 08:00","98.55"
"2018-01-01 08:10","98.55"
"2018-01-01 08:20","98.55"
"2018-01-01 08:30","98.54"
"2018-01-01 08:40","98.55"
"2018-01-01 08:50","98.55"
"2018-01-01 08:55","98.54"
"2018-01-01 09:00","98.54"
"2018-01-01 09:10","98.52"
"2018-01-01 09:20","98.52"
"2018-01-01 09:30","98.52"
"2018-01-01 09:40","98.51"
"2018-01-01 09:50","98.50"
"2018-01-01 09:55","98.51"
"2018-01-01 10:00","98.50"
"2018-01-01 10:10","98.49"
"2018-01-01 10:20","98.49"
"2018-01-01 10:30","98.50"
"2018-01-01 10:40","98.50"
"2018-01-01 10:50","98.47"
"2018-01-01 10:55","98.47"
"2018-01-01 11:00","98.47"
"2018-01-01 11:10","98.46"
"2018-01-01 11:20","98.46"
"2018-01-01 11:30","98.45"
"2018-01-01 11:40","98.44"
"2018-01-01 11:51","98.45"
"2018-01-01 11:55","98.45"
"2018-01-01 11:56","98.44"
"2018-01-01 12:00","98.44"
"2018-01-01 12:10","98.45"
"2018-01-01 12:20","98.45"
"2018-01-01 12:30","98.44"
"2018-01-01 12:40","98.45"
"2018-01-01 12:50","98.44"
"2018-01-01 12:55","98.44"
"2018-01-01 13:00","98.43"
"2018-01-01 13:10","98.44"
"2018-01-01 13:20","98.46"
"2018-01-01 13:30","98.45"
"2018-01-01 13:40","98.45"
"2018-01-01 13:50","98.46"
"2018-01-01 13:55","98.47"
"2018-01-01 14:00","98.47"
"2018-01-01 14:11","98.48"
"2018-01-01 14:20","98.48"
"2018-01-01 14:30","98.50"
"2018-01-01 14:40","98.50"
"2018-01-01 14:51","98.50"
"2018-01-01 14:55","98.52"
"2018-01-01 15:00","98.52"
"2018-01-01 15:11","98.53"
"2018-01-01 15:20","98.54"
"2018-01-01 15:30","98.57"
"2018-01-01 15:40","98.57"
"2018-01-01 15:50","98.59"
"2018-01-01 15:55","98.59"
"2018-01-01 16:00","98.60"
"2018-01-01 16:10","98.62"
"2018-01-01 16:20","98.64"
"2018-01-01 16:30","98.65"
"2018-01-01 16:40","98.66"
"2018-01-01 16:50","98.67"
"2018-01-01 16:55","98.67"
"2018-01-01 17:00","98.67"
"2018-01-01 17:10","98.69"
"2018-01-01 17:20","98.71"
"2018-01-01 17:30","98.70"
"2018-01-01 17:40","98.72"
"2018-01-01 17:50","98.73"
"2018-01-01 17:55","98.73"
"2018-01-01 18:00","98.74"
"2018-01-01 18:11","98.74"
"2018-01-01 18:20","98.74"
"2018-01-01 18:30","98.76"
"2018-01-01 18:40","98.76"
"2018-01-01 18:50","98.78"
"2018-01-01 18:55","98.77"
"2018-01-01 19:00","98.78"
"2018-01-01 19:10","98.77"
"2018-01-01 19:20","98.78"
"2018-01-01 19:30","98.78"
"2018-01-01 19:40","98.78"
"2018-01-01 19:50","98.78"
"2018-01-01 19:55","98.79"
"2018-01-01 19:56","98.78"
"2018-01-01 20:00","98.78"
"2018-01-01 20:10","98.76"
"2018-01-01 20:20","98.76"
"2018-01-01 20:30","98.76"
"2018-01-01 20:40","98.77"
"2018-01-01 20:50","98.76"
"2018-01-01 20:55","98.75"
"2018-01-01 21:00","98.75"
"2018-01-01 21:10","98.76"
"2018-01-01 21:20","98.73"
"2018-01-01 21:30","98.71"
"2018-01-01 21:40","98.69"
"2018-01-01 21:50","98.67"
"2018-01-01 21:55","98.68"
"2018-01-01 22:00","98.68"
"2018-01-01 22:10","98.69"
"2018-01-01 22:20","98.68"
"2018-01-01 22:31","98.68"
"2018-01-01 22:40","98.66"
"2018-01-01 22:51","98.64"
"2018-01-01 22:55","98.65"
"2018-01-01 22:56","98.65"
"2018-01-01 23:00","98.65"
"2018-01-01 23:10","98.63"
"2018-01-01 23:20","98.63"
"2018-01-01 23:30","98.63"
"2018-01-01 23:40","98.64"
"2018-01-01 23:50","98.62"
"2018-01-01 23:55","98.61"
"2018-01-02 00:00","98.60"
"2018-01-02 00:10","98.57"
"2018-01-02 00:20","98.56"
"2018-01-02 00:30","98.53"
"2018-01-02 00:40","98.53"
"2018-01-02 00:50","98.51"
"2018-01-02 00:55","98.49"
"2018-01-02 01:00","98.48"
"2018-01-02 01:11","98.48"
"2018-01-02 01:20","98.47"
"2018-01-02 01:30","98.47"
"2018-01-02 01:40","98.46"
"2018-01-02 01:50","98.45"
"2018-01-02 01:55","98.46"
"2018-01-02 02:00","98.47"
"2018-01-02 02:10","98.47"
"2018-01-02 02:20","98.46"
"2018-01-02 02:30","98.44"
"2018-01-02 02:40","98.45"
"2018-01-02 02:50","98.43"
"2018-01-02 02:55","98.42"
"2018-01-02 03:00","98.42"
"2018-01-02 03:10","98.40"
"2018-01-02 03:20","98.39"
"2018-01-02 03:31","98.38"
"2018-01-02 03:40","98.38"
"2018-01-02 03:50","98.36"
"2018-01-02 03:55","98.37"
"2018-01-02 03:56","98.37"
"2018-01-02 04:00","98.34"
"2018-01-02 04:10","98.29"
"2018-01-02 04:20","98.28"
"2018-01-02 04:30","98.27"
"2018-01-02 04:40","98.26"
"2018-01-02 04:50","98.21"
"2018-01-02 04:55","98.20"
"2018-01-02 05:00","98.18"
"2018-01-02 05:10","98.17"
"2018-01-02 05:20","98.18"
"2018-01-02 05:30","98.17"
"2018-01-02 05:40","98.17"
"2018-01-02 05:50","98.13"
"2018-01-02 05:55","98.12"
"2018-01-02 06:00","98.11"
"2018-01-02 06:10","98.08"
"2018-01-02 06:20","98.07"
"2018-01-02 06:30","98.07"
"2018-01-02 06:40","98.09"
"2018-01-02 06:50","98.06"
"2018-01-02 06:55","98.05"
"2018-01-02 07:00","98.06"
"2018-01-02 07:10","98.02"
"2018-01-02 07:20","98.00"
"2018-01-02 07:30","97.97"
"2018-01-02 07:40","97.96"
"2018-01-02 07:50","97.94"
"2018-01-02 07:55","97.93"
"2018-01-02 07:56","97.93"
"2018-01-02 08:00","97.92"
"2018-01-02 08:10","97.91"
"2018-01-02 08:20","97.90"
"2018-01-02 08:30","97.89"
"2018-01-02 08:40","97.88"
"2018-01-02 08:50","97.86"
"2018-01-02 08:55","97.86"
"2018-01-02 08:56","97.86"
"2018-01-02 09:00","97.86"
"2018-01-02 09:10","97.85"
"2018-01-02 09:20","97.82"
"2018-01-02 09:30","97.80"
"2018-01-02 09:40","97.79"
"2018-01-02 09:50","97.77"
"2018-01-02 09:55","97.76"
"2018-01-02 09:56","97.75"
"2018-01-02 10:00","97.76"
"2018-01-02 10:10","97.73"
"2018-01-02 10:20","97.72"
"2018-01-02 10:30","97.71"
"2018-01-02 10:40","97.70"
"2018-01-02 10:50","97.69"
"2018-01-02 10:55","97.68"
"2018-01-02 10:56","97.68"
"2018-01-02 11:00","97.66"
"2018-01-02 11:10","97.64"
"2018-01-02 11:20","97.62"
"2018-01-02 11:30","97.60"
"2018-01-02 11:40","97.57"
"2018-01-02 11:50","97.56"
"2018-01-02 11:55","97.56"
"2018-01-02 11:56","97.57"
"2018-01-02 12:00","97.56"
"2018-01-02 12:10","97.54"
"2018-01-02 12:20","97.54"
"2018-01-02 12:30","97.52"
"2018-01-02 12:40","97.50"
"2018-01-02 12:50","97.48"
"2018-01-02 12:55","97.48"
"2018-01-02 12:56","97.47"
"2018-01-02 13:00","97.47"
"2018-01-02 13:10","97.48"
"2018-01-02 13:20","97.46"
"2018-01-02 13:30","97.45"
"2018-01-02 13:40","97.43"
"2018-01-02 13:50","97.43"
"2018-01-02 13:55","97.44"
"2018-01-02 14:00","97.43"
"2018-01-02 14:10","97.41"
"2018-01-02 14:20","97.43"
"2018-01-02 14:30","97.42"
"2018-01-02 14:40","97.43"
"2018-01-02 14:50","97.42"
"2018-01-02 14:55","97.43"
"2018-01-02 14:56","97.43"
"2018-01-02 15:00","97.43"
"2018-01-02 15:10","97.44"
"2018-01-02 15:20","97.45"
"2018-01-02 15:30","97.46"
"2018-01-02 15:40","97.47"
"2018-01-02 15:50","97.48"
"2018-01-02 15:55","97.48"
"2018-01-02 15:56","97.48"
"2018-01-02 16:00","97.49"
"2018-01-02 16:10","97.49"
"2018-01-02 16:20","97.50"
"2018-01-02 16:30","97.52"
"2018-01-02 16:40","97.51"
"2018-01-02 16:50","97.52"
"2018-01-02 16:55","97.51"
"2018-01-02 16:56","97.51"
"2018-01-02 17:00","97.51"
"2018-01-02 17:10","97.53"
"2018-01-02 17:20","97.52"
"2018-01-02 17:30","97.54"
"2018-01-02 17:40","97.54"
"2018-01-02 17:50","97.55"
"2018-01-02 17:55","97.54"
"2018-01-02 17:56","97.54"
"2018-01-02 18:00","97.55"
"2018-01-02 18:10","97.55"
"2018-01-02 18:20","97.56"
"2018-01-02 18:30","97.58"
"2018-01-02 18:40","97.58"
"2018-01-02 18:50","97.59"
"2018-01-02 18:55","97.58"
"2018-01-02 18:56","97.59"
"2018-01-02 19:00","97.59"
"2018-01-02 19:10","97.59"
"2018-01-02 19:20","97.59"
"2018-01-02 19:30","97.58"
"2018-01-02 19:40","97.57"
"2018-01-02 19:50","97.58"
"2018-01-02 19:55","97.57"
"2018-01-02 19:56","97.57"
"2018-01-02 20:00","97.57"
"2018-01-02 20:10","97.58"
"2018-01-02 20:20","97.57"
"2018-01-02 20:30","97.58"
"2018-01-02 20:40","97.57"
"2018-01-02 20:50","97.56"
"2018-01-02 20:55","97.57"
"2018-01-02 20:56","97.57"
"2018-01-02 21:00","97.57"
"2018-01-02 21:10","97.56"
"2018-01-02 21:20","97.55"
"2018-01-02 21:30","97.55"
"2018-01-02 21:40","97.54"
"2018-01-02 21:50","97.54"
"2018-01-02 21:55","97.53"
"2018-01-02 21:56","97.53"
"2018-01-02 22:00","97.54"
"2018-01-02 22:10","97.52"
"2018-01-02 22:20","97.51"
"2018-01-02 22:31","97.50"
"2018-01-02 22:40","97.52"
"2018-01-02 22:50","97.50"
"2018-01-02 22:55","97.50"
"2018-01-02 22:56","97.50"
"2018-01-02 23:00","97.50"
"2018-01-02 23:10","97.50"
"2018-01-02 23:20","97.49"
"2018-01-02 23:30","97.48"
"2018-01-02 23:40","97.48"
"2018-01-02 23:50","97.47"
"2018-01-02 23:55","97.48"
"2018-01-02 23:56","97.47"
"2018-01-03 00:00","97.47"
"2018-01-03 00:10","97.47"
"2018-01-03 00:20","97.45"
"2018-01-03 00:30","97.46"
"2018-01-03 00:40","97.45"
"2018-01-03 00:50","97.44"
"2018-01-03 00:55","97.44"
"2018-01-03 00:56","97.44"
"2018-01-03 01:00","97.44"
"2018-01-03 01:11","97.44"
"2018-01-03 01:20","97.42"
"2018-01-03 01:30","97.41"
"2018-01-03 01:40","97.41"
"2018-01-03 01:50","97.41"
"2018-01-03 01:55","97.41"
"2018-01-03 01:56","97.41"
"2018-01-03 02:00","97.41"
"2018-01-03 02:10","97.42"
"2018-01-03 02:20","97.42"
"2018-01-03 02:30","97.42"
"2018-01-03 02:40","97.41"
"2018-01-03 02:50","97.41"
"2018-01-03 02:55","97.41"
"2018-01-03 02:56","97.41"
"2018-01-03 03:00","97.41"
"2018-01-03 03:10","97.40"
"2018-01-03 03:20","97.39"
"2018-01-03 03:30","97.36"
"2018-01-03 03:40","97.36"
"2018-01-03 03:51","97.36"
"2018-01-03 03:55","97.34"
"2018-01-03 03:56","97.35"
"2018-01-03 04:00","97.35"
"2018-01-03 04:10","97.35"
"2018-01-03 04:20","97.33"
"2018-01-03 04:30","97.33"
"2018-01-03 04:40","97.32"
"2018-01-03 04:50","97.32"
"2018-01-03 04:55","97.31"
"2018-01-03 04:56","97.31"
"2018-01-03 05:00","97.31"
"2018-01-03 05:10","97.30"
"2018-01-03 05:20","97.29"
"2018-01-03 05:30","97.30"
"2018-01-03 05:40","97.30"
"2018-01-03 05:50","97.29"
"2018-01-03 05:55","97.30"
"2018-01-03 05:56","97.30"
"2018-01-03 06:00","97.30"
"2018-01-03 06:10","97.29"
"2018-01-03 06:20","97.29"
"2018-01-03 06:30","97.29"
"2018-01-03 06:40","97.30"
"2018-01-03 06:50","97.29"
"2018-01-03 06:55","97.30"
"2018-01-03 06:57","97.30"
"2018-01-03 07:00","97.30"
"2018-01-03 07:10","97.30"
"2018-01-03 07:20","97.30"
"2018-01-03 07:30","97.31"
"2018-01-03 07:40","97.31"
"2018-01-03 07:50","97.31"
"2018-01-03 07:55","97.30"
"2018-01-03 08:00","97.30"
"2018-01-03 08:10","97.31"
"2018-01-03 08:20","97.34"
"2018-01-03 08:31","97.33"
"2018-01-03 08:40","97.32"
"2018-01-03 08:50","97.33"
"2018-01-03 08:55","97.34"
"2018-01-03 08:56","97.34"
"2018-01-03 09:00","97.34"
"2018-01-03 09:14","97.32"
"2018-01-03 09:20","97.33"
"2018-01-03 09:32","97.32"
"2018-01-03 09:40","97.32"
"2018-01-03 09:50","97.31"
"2018-01-03 09:55","97.32"
"2018-01-03 09:57","97.32"
"2018-01-03 10:00","97.32"
"2018-01-03 10:10","97.32"
"2018-01-03 10:20","97.31"
"2018-01-03 10:30","97.31"
"2018-01-03 10:40","97.31"
"2018-01-03 10:50","97.29"
"2018-01-03 10:55","97.29"
"2018-01-03 10:56","97.29"
"2018-01-03 11:00","97.28"
"2018-01-03 11:10","97.28"
"2018-01-03 11:20","97.26"
"2018-01-03 11:30","97.25"
"2018-01-03 11:40","97.24"
"2018-01-03 11:50","97.23"
"2018-01-03 11:55","97.22"
"2018-01-03 11:56","97.23"
"2018-01-03 12:00","97.23"
"2018-01-03 12:10","97.21"
"2018-01-03 12:20","97.20"
"2018-01-03 12:30","97.18"
"2018-01-03 12:40","97.17"
"2018-01-03 12:50","97.16"
"2018-01-03 12:55","97.16"
"2018-01-03 12:58","97.15"
"2018-01-03 13:00","97.15"
"2018-01-03 13:10","97.13"
"2018-01-03 13:20","97.12"
"2018-01-03 13:30","97.12"
"2018-01-03 13:40","97.11"
"2018-01-03 13:50","97.12"
"2018-01-03 13:55","97.11"
"2018-01-03 13:56","97.11"
"2018-01-03 14:00","97.11"
"2018-01-03 14:10","97.10"
"2018-01-03 14:20","97.11"
"2018-01-03 14:30","97.11"
"2018-01-03 14:40","97.11"
"2018-01-03 14:50","97.11"
"2018-01-03 14:55","97.11"
"2018-01-03 14:56","97.11"
"2018-01-03 15:00","97.11"
"2018-01-03 15:10","97.10"
"2018-01-03 15:20","97.12"
"2018-01-03 15:30","97.12"
"2018-01-03 15:40","97.12"
"2018-01-03 15:51","97.12"
"2018-01-03 15:55","97.12"
"2018-01-03 15:56","97.12"
"2018-01-03 16:00","97.12"
"2018-01-03 16:10","97.13"
"2018-01-03 16:20","97.11"
"2018-01-03 16:30","97.10"
"2018-01-03 16:40","97.11"
"2018-01-03 16:50","97.12"
"2018-01-03 16:55","97.14"
"2018-01-03 16:56","97.14"
"2018-01-03 17:00","97.12"
"2018-01-03 17:13","97.12"
"2018-01-03 17:20","97.12"
"2018-01-03 17:37","97.12"
"2018-01-03 17:40","97.12"
"2018-01-03 17:55","97.14"
"2018-01-03 18:00","97.12"
"2018-01-03 18:03","97.12"
"2018-01-03 18:20","97.13"
"2018-01-03 18:40","97.13"
"2018-01-03 18:50","97.13"
"2018-01-03 18:55","97.14"
"2018-01-03 18:56","97.14"
"2018-01-03 19:00","97.14"
"2018-01-03 19:10","97.15"
"2018-01-03 19:20","97.15"
"2018-01-03 19:30","97.17"
"2018-01-03 19:40","97.16"
"2018-01-03 19:50","97.16"
"2018-01-03 19:55","97.16"
"2018-01-03 19:56","97.17"
"2018-01-03 20:00","97.16"
"2018-01-03 20:10","97.16"
"2018-01-03 20:20","97.15"
"2018-01-03 20:30","97.16"
"2018-01-03 20:40","97.17"
"2018-01-03 20:51","97.16"
"2018-01-03 20:55","97.17"
"2018-01-03 20:56","97.17"
"2018-01-03 21:00","97.17"
"2018-01-03 21:10","97.19"
"2018-01-03 21:20","97.18"
"2018-01-03 21:30","97.19"
"2018-01-03 21:40","97.19"
"2018-01-03 21:50","97.18"
"2018-01-03 21:55","97.19"
"2018-01-03 21:56","97.18"
"2018-01-03 22:00","97.19"
"2018-01-03 22:10","97.18"
"2018-01-03 22:20","97.20"
"2018-01-03 22:30","97.21"
"2018-01-03 22:40","97.22"
"2018-01-03 22:50","97.22"
"2018-01-03 22:55","97.22"
"2018-01-03 22:57","97.23"
"2018-01-03 23:00","97.23"
"2018-01-03 23:10","97.23"
"2018-01-03 23:20","97.22"
"2018-01-03 23:30","97.22"
"2018-01-03 23:40","97.22"
"2018-01-03 23:50","97.22"
"2018-01-03 23:55","97.21"
"2018-01-04 00:00","97.21"
"2018-01-04 00:10","97.23"
"2018-01-04 00:20","97.25"
"2018-01-04 00:30","97.25"
"2018-01-04 00:40","97.27"
"2018-01-04 00:50","97.29"
"2018-01-04 00:55","97.29"
"2018-01-04 00:56","97.30"
"2018-01-04 01:00","97.30"
"2018-01-04 01:16","97.33"
"2018-01-04 01:20","97.33"
"2018-01-04 01:30","97.35"
"2018-01-04 01:40","97.35"
"2018-01-04 01:50","97.34"
"2018-01-04 01:55","97.34"
"2018-01-04 01:56","97.35"
"2018-01-04 02:00","97.35"
"2018-01-04 02:18","97.37"
"2018-01-04 02:20","97.37"
"2018-01-04 02:40","97.41"
"2018-01-04 02:55","97.45"
"2018-01-04 03:00","97.47"
"2018-01-04 03:20","97.48"
"2018-01-04 03:40","97.47"
"2018-01-04 03:55","97.48"
"2018-01-04 04:00","97.48"
"2018-01-04 04:20","97.49"
"2018-01-04 04:40","97.50"
"2018-01-04 04:55","97.50"
"2018-01-04 05:00","97.50"
"2018-01-04 05:20","97.53"
"2018-01-04 05:40","97.58"
"2018-01-04 05:55","97.60"
"2018-01-04 06:00","97.59"
"2018-01-04 06:20","97.60"
"2018-01-04 06:40","97.64"
"2018-01-04 06:55","97.65"
"2018-01-04 07:00","97.66"
"2018-01-04 07:20","97.65"
"2018-01-04 07:40","97.66"
"2018-01-04 07:55","97.69"
"2018-01-04 08:00","97.68"
"2018-01-04 08:20","97.69"
"2018-01-04 08:40","97.72"
"2018-01-04 08:55","97.70"
"2018-01-04 09:00","97.68"
"2018-01-04 09:20","97.67"
"2018-01-04 09:40","97.65"
"2018-01-04 09:55","97.64"
"2018-01-04 10:00","97.62"
"2018-01-04 10:20","97.62"
"2018-01-04 10:40","97.60"
"2018-01-04 10:55","97.64"
"2018-01-04 11:00","97.63"
"2018-01-04 11:20","97.58"
"2018-01-04 11:40","97.59"
"2018-01-04 11:50","97.62"
"2018-01-04 11:55","97.63"
"2018-01-04 12:00","97.63"
"2018-01-04 12:10","97.65"
"2018-01-04 12:20","97.65"
"2018-01-04 12:30","97.64"
"2018-01-04 12:40","97.64"
"2018-01-04 12:50","97.64"
"2018-01-04 12:55","97.61"
"2018-01-04 13:00","97.61"
"2018-01-04 13:10","97.61"
"2018-01-04 13:20","97.60"
"2018-01-04 13:30","97.59"
"2018-01-04 13:40","97.57"
"2018-01-04 13:50","97.58"
"2018-01-04 13:55","97.57"
"2018-01-04 14:00","97.57"
"2018-01-04 14:10","97.56"
"2018-01-04 14:20","97.57"
"2018-01-04 14:30","97.57"
"2018-01-04 14:40","97.56"
"2018-01-04 14:50","97.56"
"2018-01-04 14:55","97.55"
"2018-01-04 15:00","97.54"
"2018-01-04 15:10","97.54"
"2018-01-04 15:20","97.55"
"2018-01-04 15:30","97.56"
"2018-01-04 15:40","97.57"
"2018-01-04 15:50","97.58"
"2018-01-04 15:55","97.58"
"2018-01-04 16:00","97.57"
"2018-01-04 16:10","97.55"
"2018-01-04 16:20","97.55"
"2018-01-04 16:30","97.55"
"2018-01-04 16:40","97.57"
"2018-01-04 16:50","97.57"
"2018-01-04 16:55","97.55"
"2018-01-04 17:00","97.56"
"2018-01-04 17:10","97.54"
"2018-01-04 17:20","97.56"
"2018-01-04 17:30","97.58"
"2018-01-04 17:40","97.59"
"2018-01-04 17:50","97.61"
"2018-01-04 17:55","97.60"
"2018-01-04 18:00","97.61"
"2018-01-04 18:10","97.61"
"2018-01-04 18:20","97.60"
"2018-01-04 18:30","97.61"
"2018-01-04 18:40","97.59"
"2018-01-04 18:50","97.61"
"2018-01-04 18:55","97.61"
"2018-01-04 19:00","97.61"
"2018-01-04 19:10","97.60"
"2018-01-04 19:20","97.61"
"2018-01-04 19:30","97.60"
"2018-01-04 19:40","97.61"
"2018-01-04 19:50","97.61"
"2018-01-04 19:55","97.61"
"2018-01-04 20:00","97.61"
"2018-01-04 20:10","97.61"
"2018-01-04 20:20","97.61"
"2018-01-04 20:30","97.62"
"2018-01-04 20:40","97.60"
"2018-01-04 20:50","97.60"
"2018-01-04 20:55","97.61"
"2018-01-04 21:00","97.60"
"2018-01-04 21:10","97.60"
"2018-01-04 21:20","97.61"
"2018-01-04 21:30","97.61"
"2018-01-04 21:40","97.60"
"2018-01-04 21:50","97.58"
"2018-01-04 21:55","97.60"
"2018-01-04 22:00","97.60"
"2018-01-04 22:10","97.59"
"2018-01-04 22:20","97.59"
"2018-01-04 22:30","97.59"
"2018-01-04 22:40","97.57"
"2018-01-04 22:50","97.57"
"2018-01-04 22:55","97.57"
"2018-01-04 23:00","97.56"
"2018-01-04 23:10","97.56"
"2018-01-04 23:20","97.57"
"2018-01-04 23:30","97.55"
"2018-01-04 23:40","97.55"
"2018-01-04 23:50","97.55"
"2018-01-04 23:55","97.54"
"2018-01-05 00:00","97.54"
"2018-01-05 00:10","97.54"
"2018-01-05 00:20","97.55"
"2018-01-05 00:30","97.54"
"2018-01-05 00:40","97.56"
"2018-01-05 00:50","97.53"
"2018-01-05 00:55","97.54"
"2018-01-05 01:00","97.54"
"2018-01-05 01:10","97.53"
"2018-01-05 01:20","97.53"
"2018-01-05 01:30","97.54"
"2018-01-05 01:40","97.54"
"2018-01-05 01:50","97.53"
"2018-01-05 01:55","97.53"
"2018-01-05 02:00","97.53"
"2018-01-05 02:10","97.55"
"2018-01-05 02:20","97.56"
"2018-01-05 02:30","97.55"
"2018-01-05 02:40","97.56"
"2018-01-05 02:50","97.56"
"2018-01-05 02:55","97.56"
"2018-01-05 03:00","97.57"
"2018-01-05 03:10","97.56"
"2018-01-05 03:20","97.56"
"2018-01-05 03:30","97.56"
"2018-01-05 03:40","97.56"
"2018-01-05 03:50","97.56"
"2018-01-05 03:55","97.56"
"2018-01-05 04:00","97.57"
"2018-01-05 04:10","97.57"
"2018-01-05 04:20","97.55"
"2018-01-05 04:30","97.55"
"2018-01-05 04:40","97.55"
"2018-01-05 04:50","97.55"
"2018-01-05 04:55","97.55"
"2018-01-05 05:00","97.55"
"2018-01-05 05:10","97.55"
"2018-01-05 05:20","97.55"
"2018-01-05 05:30","97.55"
"2018-01-05 05:40","97.55"
"2018-01-05 05:50","97.55"
"2018-01-05 05:55","97.56"
"2018-01-05 06:00","97.57"
"2018-01-05 06:10","97.58"
"2018-01-05 06:20","97.59"
"2018-01-05 06:30","97.59"
"2018-01-05 06:40","97.60"
"2018-01-05 06:50","97.61"
"2018-01-05 06:55","97.62"
"2018-01-05 07:00","97.63"
"2018-01-05 07:10","97.63"
"2018-01-05 07:20","97.63"
"2018-01-05 07:30","97.63"
"2018-01-05 07:40","97.64"
"2018-01-05 07:50","97.66"
"2018-01-05 07:55","97.66"
"2018-01-05 07:56","97.66"
"2018-01-05 08:00","97.66"
"2018-01-05 08:10","97.67"
"2018-01-05 08:20","97.68"
"2018-01-05 08:30","97.68"
"2018-01-05 08:40","97.69"
"2018-01-05 08:50","97.71"
"2018-01-05 08:55","97.70"
"2018-01-05 08:56","97.70"
"2018-01-05 09:00","97.71"
"2018-01-05 09:10","97.72"
"2018-01-05 09:20","97.71"
"2018-01-05 09:30","97.72"
"2018-01-05 09:40","97.71"
"2018-01-05 09:50","97.72"
"2018-01-05 09:55","97.73"
"2018-01-05 09:56","97.73"
"2018-01-05 10:00","97.74"
"2018-01-05 10:10","97.74"
"2018-01-05 10:20","97.75"
"2018-01-05 10:30","97.74"
"2018-01-05 10:40","97.75"
"2018-01-05 10:50","97.75"
"2018-01-05 10:55","97.74"
"2018-01-05 11:00","97.75"
"2018-01-05 11:10","97.75"
"2018-01-05 11:20","97.75"
"2018-01-05 11:30","97.73"
"2018-01-05 11:40","97.75"
"2018-01-05 11:50","97.75"
"2018-01-05 11:55","97.75"
"2018-01-05 12:00","97.73"
"2018-01-05 12:10","97.74"
"2018-01-05 12:20","97.73"
"2018-01-05 12:30","97.74"
"2018-01-05 12:40","97.73"
"2018-01-05 12:50","97.73"
"2018-01-05 12:55","97.72"
"2018-01-05 13:00","97.72"
"2018-01-05 13:10","97.71"
"2018-01-05 13:20","97.72"
"2018-01-05 13:30","97.72"
"2018-01-05 13:40","97.73"
"2018-01-05 13:50","97.72"
"2018-01-05 13:55","97.72"
"2018-01-05 14:00","97.72"
"2018-01-05 14:10","97.72"
"2018-01-05 14:20","97.73"
"2018-01-05 14:30","97.73"
"2018-01-05 14:40","97.74"
"2018-01-05 14:50","97.75"
"2018-01-05 14:55","97.75"
"2018-01-05 15:00","97.75"
"2018-01-05 15:10","97.77"
"2018-01-05 15:20","97.78"
"2018-01-05 15:30","97.79"
"2018-01-05 15:40","97.80"
"2018-01-05 15:50","97.81"
"2018-01-05 15:55","97.82"
"2018-01-05 16:00","97.82"
"2018-01-05 16:10","97.83"
"2018-01-05 16:20","97.84"
"2018-01-05 16:30","97.84"
"2018-01-05 16:40","97.84"
"2018-01-05 16:50","97.87"
"2018-01-05 16:55","97.86"
"2018-01-05 17:00","97.86"
"2018-01-05 17:10","97.89"
"2018-01-05 17:20","97.89"
"2018-01-05 17:30","97.90"
"2018-01-05 17:40","97.91"
"2018-01-05 17:50","97.91"
"2018-01-05 17:55","97.91"
"2018-01-05 18:00","97.91"
"2018-01-05 18:10","97.92"
"2018-01-05 18:20","97.93"
"2018-01-05 18:30","97.95"
"2018-01-05 18:40","97.98"
"2018-01-05 18:50","97.98"
"2018-01-05 18:55","97.99"
"2018-01-05 18:56","97.99"
