"Time EST","Wind Speed (km/h)","Wind Direction","Wind Gusts (km/h)"
"2018-03-01 00:06","8","NW","12"
"2018-03-01 00:16","7","WNW","12"
"2018-03-01 00:26","8","WNW","14"
"2018-03-01 00:36","9","WNW","15"
"2018-03-01 00:46","9","WNW","13"
"2018-03-01 00:56","8","WNW","13"
"2018-03-01 01:06","9","NW","12"
"2018-03-01 01:16","9","NW","14"
"2018-03-01 01:26","9","NW","15"
"2018-03-01 01:36","9","NW","17"
"2018-03-01 01:46","8","NW","15"
"2018-03-01 01:56","9","NW","13"
"2018-03-01 02:06","9","NW","15"
"2018-03-01 02:16","7","NW","10"
"2018-03-01 02:26","7","NNW","12"
"2018-03-01 02:36","7","WNW","12"
"2018-03-01 02:46","9","NW","15"
"2018-03-01 02:56","8","NW","13"
"2018-03-01 03:06","7","NW","12"
"2018-03-01 03:16","6","NW","12"
"2018-03-01 03:26","4","NNW","7"
"2018-03-01 03:36","8","WNW","13"
"2018-03-01 03:46","8","WNW","13"
"2018-03-01 03:56","8","WNW","12"
"2018-03-01 04:06","9","WNW","12"
"2018-03-01 04:16","8","WNW","12"
"2018-03-01 04:26","5","NW","9"
"2018-03-01 04:36","5","WNW","9"
"2018-03-01 04:46","7","WNW","10"
"2018-03-01 04:56","7","WNW","11"
"2018-03-01 05:06","5","WNW","7"
"2018-03-01 05:16","5","WNW","8"
"2018-03-01 05:26","5","WNW","7"
"2018-03-01 05:36","8","WNW","10"
"2018-03-01 05:46","8","WNW","10"
"2018-03-01 05:56","6","WNW","8"
"2018-03-01 06:06","5","WNW","9"
"2018-03-01 06:16","5","NW","8"
"2018-03-01 06:26","4","NNW","5"
"2018-03-01 06:36","5","NW","10"
"2018-03-01 06:46","4","NW","6"
"2018-03-01 06:56","6","NW","9"
"2018-03-01 07:06","7","NW","12"
"2018-03-01 07:16","8","NW","11"
"2018-03-01 07:26","5","NW","11"
"2018-03-01 08:26","9","NW","12"
"2018-03-01 08:36","10","WNW","13"
"2018-03-01 08:46","6","WNW","11"
"2018-03-01 08:56","6","WNW","9"
"2018-03-01 09:06","9","NW","12"
"2018-03-01 09:16","6","WNW","13"
"2018-03-01 09:26","8","WNW","14"
"2018-03-01 09:36","6","NW","10"
"2018-03-01 09:46","6","NNW","10"
"2018-03-01 09:56","7","N","11"
"2018-03-01 10:06","9","NNW","14"
"2018-03-01 10:16","6","WNW","8"
"2018-03-01 10:26","5","NNW","9"
"2018-03-01 10:36","9","NW","15"
"2018-03-01 10:46","4","NW","11"
"2018-03-01 10:56","6","WNW","10"
"2018-03-01 11:06","5","NW","9"
"2018-03-01 11:16","4","NW","8"
"2018-03-01 11:26","8","NW","12"
"2018-03-01 11:36","6","NNW","10"
"2018-03-01 11:46","7","NNW","10"
"2018-03-01 11:56","7","N","11"
"2018-03-01 12:06","5","NNW","9"
"2018-03-01 12:16","10","N","16"
"2018-03-01 12:26","4","W","6"
"2018-03-01 12:36","5","NNE","10"
"2018-03-01 12:46","4","N","10"
"2018-03-01 12:56","4","NW","9"
"2018-03-01 13:06","4","SSE","5"
"2018-03-01 13:16","8","NE","13"
"2018-03-01 13:26","4","ENE","7"
"2018-03-01 13:36","6","ENE","9"
"2018-03-01 13:46","9","NNE","12"
"2018-03-01 13:56","6","NNW","21"
"2018-03-01 14:06","6","NE","14"
"2018-03-01 14:16","7","NE","15"
"2018-03-01 14:26","9","NE","15"
"2018-03-01 14:36","11","NE","21"
"2018-03-01 14:46","7","NE","12"
"2018-03-01 14:56","10","ENE","17"
"2018-03-01 15:06","7","NNE","15"
"2018-03-01 15:16","12","NE","17"
"2018-03-01 15:26","10","NNE","18"
"2018-03-01 15:36","12","NE","17"
"2018-03-01 15:46","14","NE","21"
"2018-03-01 15:56","12","NE","17"
"2018-03-01 16:06","17","NE","22"
"2018-03-01 16:16","13","NNE","22"
"2018-03-01 16:26","11","N","18"
"2018-03-01 16:36","10","NNE","15"
"2018-03-01 16:46","9","NNE","13"
"2018-03-01 16:56","10","NNE","18"
"2018-03-01 17:06","13","NNE","21"
"2018-03-01 17:16","14","NNE","21"
"2018-03-01 17:26","15","NNE","23"
"2018-03-01 17:36","14","NNE","23"
"2018-03-01 17:46","10","NE","24"
"2018-03-01 17:56","19","NNE","26"
"2018-03-01 18:06","15","NNE","21"
"2018-03-01 18:16","13","NNE","19"
"2018-03-01 18:26","14","NNE","22"
"2018-03-01 18:36","10","NE","16"
"2018-03-01 18:46","8","NNE","13"
"2018-03-01 18:56","9","NE","15"
"2018-03-01 19:06","9","NE","13"
"2018-03-01 19:16","5","NNE","10"
"2018-03-01 19:26","5","NE","8"
"2018-03-01 19:36","6","NE","9"
"2018-03-01 19:46","4","N","8"
"2018-03-01 19:56","3","NNE","7"
"2018-03-01 20:06","3","NNE","4"
"2018-03-01 20:16","4","N","8"
"2018-03-01 20:26","7","NNE","12"
"2018-03-01 20:36","4","N","9"
"2018-03-01 20:46","5","NNE","10"
"2018-03-01 20:56","4","N","10"
"2018-03-01 21:06","8","NNE","14"
"2018-03-01 21:16","6","NNE","14"
"2018-03-01 21:26","8","NNE","14"
"2018-03-01 21:36","7","NE","13"
"2018-03-01 21:46","9","NNE","12"
"2018-03-01 21:56","8","NNE","15"
"2018-03-01 22:06","9","NNE","15"
"2018-03-01 22:16","10","NNE","18"
"2018-03-01 22:26","13","NNE","19"
"2018-03-01 22:36","8","N","15"
"2018-03-01 22:46","10","NNE","18"
"2018-03-01 22:56","11","NNE","19"
"2018-03-01 23:06","13","NNE","19"
"2018-03-01 23:16","10","NNE","21"
"2018-03-01 23:26","15","NNE","23"
"2018-03-01 23:36","15","NNE","23"
"2018-03-01 23:46","10","NNE","21"
"2018-03-01 23:56","9","NNE","17"
"2018-03-02 00:06","6","NNE","12"
"2018-03-02 00:16","6","NNE","12"
"2018-03-02 00:26","9","NNE","16"
"2018-03-02 00:36","12","NNE","23"
"2018-03-02 00:46","6","NNE","11"
"2018-03-02 00:56","8","N","15"
"2018-03-02 01:06","10","N","17"
"2018-03-02 01:16","10","N","20"
"2018-03-02 01:26","11","NNE","19"
"2018-03-02 01:36","9","N","17"
"2018-03-02 01:46","10","N","21"
"2018-03-02 01:56","5","NNW","13"
"2018-03-02 02:06","7","N","12"
"2018-03-02 02:16","7","NNE","15"
"2018-03-02 02:26","9","N","16"
"2018-03-02 02:36","13","N","19"
"2018-03-02 02:46","7","N","17"
"2018-03-02 02:56","6","N","18"
"2018-03-02 03:06","6","N","13"
"2018-03-02 03:16","8","N","18"
"2018-03-02 03:26","10","N","20"
"2018-03-02 03:36","10","N","15"
"2018-03-02 03:46","7","N","13"
"2018-03-02 03:56","10","N","19"
"2018-03-02 04:06","9","NNW","23"
"2018-03-02 04:16","12","N","21"
"2018-03-02 04:26","8","N","18"
"2018-03-02 04:36","10","N","19"
"2018-03-02 04:46","7","N","12"
"2018-03-02 04:56","10","N","17"
"2018-03-02 05:06","9","N","18"
"2018-03-02 05:16","8","N","12"
"2018-03-02 05:26","6","N","10"
"2018-03-02 05:36","12","N","18"
"2018-03-02 05:46","7","N","10"
"2018-03-02 05:56","5","N","13"
"2018-03-02 06:06","7","NNW","13"
"2018-03-02 06:16","5","NNW","12"
"2018-03-02 06:26","5","NNW","16"
"2018-03-02 06:36","10","NNW","17"
"2018-03-02 06:46","5","NW","9"
"2018-03-02 06:56","10","NNW","19"
"2018-03-02 07:06","8","NNW","17"
"2018-03-02 07:16","5","N","12"
"2018-03-02 07:26","6","N","18"
"2018-03-02 07:36","10","NW","26"
"2018-03-02 07:46","10","NNW","17"
"2018-03-02 07:56","9","NNW","17"
"2018-03-02 08:06","14","NNW","23"
"2018-03-02 08:16","9","N","15"
"2018-03-02 08:26","11","N","17"
"2018-03-02 08:36","12","NNW","26"
"2018-03-02 08:46","9","N","22"
"2018-03-02 08:56","12","N","22"
"2018-03-02 09:06","8","NNW","14"
"2018-03-02 09:16","11","NNE","19"
"2018-03-02 09:26","12","N","23"
"2018-03-02 09:36","9","NNW","19"
"2018-03-02 09:46","6","NW","13"
"2018-03-02 09:56","11","NNW","20"
"2018-03-02 10:06","9","N","13"
"2018-03-02 10:16","9","N","17"
"2018-03-02 10:26","12","NW","30"
"2018-03-02 10:36","10","NNE","17"
"2018-03-02 10:46","12","N","24"
"2018-03-02 10:56","10","N","17"
"2018-03-02 11:06","10","NNW","21"
"2018-03-02 11:16","10","N","18"
"2018-03-02 11:26","10","N","18"
"2018-03-02 11:36","6","NNW","12"
"2018-03-02 11:46","8","N","18"
"2018-03-02 11:56","6","NNW","12"
"2018-03-02 12:06","10","N","17"
"2018-03-02 12:16","9","N","16"
"2018-03-02 12:26","9","N","14"
"2018-03-02 12:36","9","NNW","16"
"2018-03-02 12:46","5","NW","9"
"2018-03-02 12:56","12","NNW","21"
"2018-03-02 13:06","5","NW","11"
"2018-03-02 13:16","11","N","17"
"2018-03-02 13:26","11","NNW","18"
"2018-03-02 13:36","6","NNW","11"
"2018-03-02 13:46","7","N","11"
"2018-03-02 13:56","7","NNW","13"
"2018-03-02 14:06","6","NNW","17"
"2018-03-02 14:16","7","NW","15"
"2018-03-02 14:26","9","NW","15"
"2018-03-02 14:36","6","NW","14"
"2018-03-02 14:46","10","NW","18"
"2018-03-02 14:56","15","NW","22"
"2018-03-02 15:06","14","NW","22"
"2018-03-02 15:16","12","NW","18"
"2018-03-02 15:26","15","NW","22"
"2018-03-02 15:36","10","NW","23"
"2018-03-02 15:46","12","NW","21"
"2018-03-02 15:56","10","NW","20"
"2018-03-02 16:06","9","NW","15"
"2018-03-02 16:16","9","NW","17"
"2018-03-02 16:26","12","NW","21"
"2018-03-02 16:36","9","NW","15"
"2018-03-02 16:46","9","NW","15"
"2018-03-02 16:56","8","NW","16"
"2018-03-02 17:06","16","NW","25"
"2018-03-02 17:16","9","NW","22"
"2018-03-02 17:26","8","NW","16"
"2018-03-02 17:36","8","NW","15"
"2018-03-02 17:46","9","NW","15"
"2018-03-02 17:56","9","NW","14"
"2018-03-02 18:06","8","NW","13"
"2018-03-02 18:16","11","NW","22"
"2018-03-02 18:26","9","NW","19"
"2018-03-02 18:36","8","NW","17"
"2018-03-02 18:46","11","NW","18"
"2018-03-02 18:56","7","NNW","14"
"2018-03-02 19:06","8","WNW","12"
"2018-03-02 19:16","8","NW","12"
"2018-03-02 19:26","11","NW","19"
"2018-03-02 19:36","10","WNW","17"
"2018-03-02 19:46","7","WNW","12"
"2018-03-02 19:56","9","NW","13"
"2018-03-02 20:06","12","NW","21"
"2018-03-02 20:16","11","WNW","17"
"2018-03-02 20:26","12","NW","24"
"2018-03-02 20:36","10","NW","14"
"2018-03-02 20:46","10","NW","13"
"2018-03-02 20:56","10","WNW","16"
"2018-03-02 21:06","10","NW","19"
"2018-03-02 21:16","8","NW","13"
"2018-03-02 21:26","12","NW","19"
"2018-03-02 21:36","6","NW","12"
"2018-03-02 21:46","11","NW","16"
"2018-03-02 21:56","12","NW","19"
"2018-03-02 22:06","10","WNW","18"
"2018-03-02 22:16","9","NW","12"
"2018-03-02 22:26","8","NW","15"
"2018-03-02 22:36","11","WNW","16"
"2018-03-02 22:46","9","WNW","14"
"2018-03-02 22:56","14","WNW","21"
"2018-03-02 23:06","13","WNW","17"
"2018-03-02 23:16","13","NW","19"
"2018-03-02 23:26","12","NW","18"
"2018-03-02 23:36","13","NW","19"
"2018-03-02 23:46","8","WNW","12"
"2018-03-02 23:56","10","NW","15"
"2018-03-03 00:06","11","WNW","14"
"2018-03-03 00:16","7","WNW","12"
"2018-03-03 00:26","10","NW","19"
"2018-03-03 00:36","10","NW","15"
"2018-03-03 00:46","11","NW","22"
"2018-03-03 00:56","11","NW","18"
"2018-03-03 01:06","9","NW","17"
"2018-03-03 01:16","13","NW","18"
"2018-03-03 01:26","5","NW","10"
"2018-03-03 01:36","12","NW","27"
"2018-03-03 01:46","15","NW","23"
"2018-03-03 01:56","12","NW","19"
"2018-03-03 02:06","12","NW","18"
"2018-03-03 02:16","12","NW","19"
"2018-03-03 02:26","10","NW","18"
"2018-03-03 02:36","12","NW","23"
"2018-03-03 02:46","14","NW","21"
"2018-03-03 02:56","14","NW","22"
"2018-03-03 03:06","12","NW","22"
"2018-03-03 03:16","12","WNW","16"
"2018-03-03 03:26","9","WNW","13"
"2018-03-03 03:36","11","NW","17"
"2018-03-03 03:46","10","WNW","16"
"2018-03-03 03:56","12","NW","20"
"2018-03-03 04:06","12","NW","20"
"2018-03-03 04:16","12","WNW","24"
"2018-03-03 04:26","8","NW","15"
"2018-03-03 04:36","10","NW","21"
"2018-03-03 04:46","10","NW","17"
"2018-03-03 04:56","9","NW","13"
"2018-03-03 05:06","5","NW","12"
"2018-03-03 05:16","7","NW","15"
"2018-03-03 05:26","15","NW","23"
"2018-03-03 05:36","9","WNW","16"
"2018-03-03 05:46","13","NW","21"
"2018-03-03 05:56","11","NW","17"
"2018-03-03 06:06","12","NW","19"
"2018-03-03 06:16","12","NW","18"
"2018-03-03 06:27","15","WNW","26"
"2018-03-03 06:36","13","NW","21"
"2018-03-03 06:46","10","NW","19"
"2018-03-03 06:56","12","NW","18"
"2018-03-03 07:06","10","WNW","13"
"2018-03-03 07:16","11","NW","18"
"2018-03-03 07:26","10","WNW","17"
"2018-03-03 07:36","10","WNW","14"
"2018-03-03 07:46","10","WNW","13"
"2018-03-03 07:56","12","WNW","18"
"2018-03-03 08:06","12","WNW","16"
"2018-03-03 08:16","9","WNW","14"
"2018-03-03 08:26","10","WNW","18"
"2018-03-03 08:36","10","WNW","14"
"2018-03-03 08:46","9","NW","14"
"2018-03-03 08:56","8","NW","13"
"2018-03-03 09:06","9","NNW","16"
"2018-03-03 09:16","10","NW","16"
"2018-03-03 09:26","10","NW","19"
"2018-03-03 09:36","8","NW","14"
"2018-03-03 09:46","7","NW","14"
"2018-03-03 09:56","14","NW","22"
"2018-03-03 10:06","10","NW","21"
"2018-03-03 10:16","8","WNW","12"
"2018-03-03 10:26","11","WNW","22"
"2018-03-03 10:36","16","NW","27"
"2018-03-03 10:46","11","NW","26"
"2018-03-03 10:56","13","NW","21"
"2018-03-03 11:06","10","NW","14"
"2018-03-03 11:16","14","WNW","18"
"2018-03-03 11:26","13","NW","22"
"2018-03-03 11:36","13","NW","20"
"2018-03-03 11:46","12","NW","28"
"2018-03-03 11:56","12","NW","18"
"2018-03-03 12:06","14","NW","23"
"2018-03-03 12:16","12","NW","19"
"2018-03-03 12:26","13","NW","22"
"2018-03-03 12:36","10","WNW","19"
"2018-03-03 12:46","11","NW","17"
"2018-03-03 12:56","9","NNW","17"
"2018-03-03 13:06","7","NW","14"
"2018-03-03 13:16","11","NW","23"
"2018-03-03 13:26","14","NW","21"
"2018-03-03 13:36","12","NW","22"
"2018-03-03 13:46","9","NW","16"
"2018-03-03 13:56","12","NW","22"
"2018-03-03 14:06","18","NW","31"
"2018-03-03 14:16","13","NW","23"
"2018-03-03 14:26","11","NW","21"
"2018-03-03 14:36","11","NNW","23"
"2018-03-03 14:46","9","NW","15"
"2018-03-03 14:56","13","NW","22"
"2018-03-03 15:06","15","NW","25"
"2018-03-03 15:16","12","NW","19"
"2018-03-03 15:26","8","NW","14"
"2018-03-03 15:36","12","NW","19"
"2018-03-03 15:46","10","WNW","15"
"2018-03-03 15:56","14","NW","28"
"2018-03-03 16:06","12","NW","23"
"2018-03-03 16:16","14","NW","28"
"2018-03-03 16:26","13","NW","21"
"2018-03-03 16:36","21","NW","36"
"2018-03-03 16:46","14","NW","21"
"2018-03-03 16:56","12","NW","23"
"2018-03-03 17:06","15","NW","30"
"2018-03-03 17:16","7","NNW","12"
"2018-03-03 17:26","15","NW","27"
"2018-03-03 17:36","10","NW","19"
"2018-03-03 17:46","14","WNW","24"
"2018-03-03 17:56","11","NW","18"
"2018-03-03 18:06","9","NW","15"
"2018-03-03 18:16","6","NW","11"
"2018-03-03 18:26","11","NW","17"
"2018-03-03 18:36","13","NW","20"
"2018-03-03 18:46","10","NW","19"
"2018-03-03 18:56","9","NW","15"
"2018-03-03 19:06","11","NW","23"
"2018-03-03 19:16","10","WNW","14"
"2018-03-03 19:26","13","NW","22"
"2018-03-03 19:36","14","NW","18"
"2018-03-03 19:46","11","NW","17"
"2018-03-03 19:56","9","WNW","15"
"2018-03-03 20:06","9","NW","15"
"2018-03-03 20:16","9","NW","13"
"2018-03-03 20:26","12","NW","20"
"2018-03-03 20:36","11","NW","15"
"2018-03-03 20:46","11","NW","19"
"2018-03-03 20:56","6","WNW","13"
"2018-03-03 21:06","11","NW","17"
"2018-03-03 21:16","11","WNW","16"
"2018-03-03 21:26","7","WNW","15"
"2018-03-03 21:36","6","WNW","13"
"2018-03-03 21:46","8","NW","15"
"2018-03-03 21:56","11","NW","20"
"2018-03-03 22:06","13","NW","19"
"2018-03-03 22:16","7","NW","14"
"2018-03-03 22:26","6","NW","11"
"2018-03-03 22:36","6","WNW","9"
"2018-03-03 22:46","7","NW","14"
"2018-03-03 22:56","10","NW","17"
"2018-03-03 23:06","9","NW","15"
"2018-03-03 23:16","13","NW","23"
"2018-03-03 23:26","11","NW","21"
"2018-03-03 23:36","11","NW","21"
"2018-03-03 23:46","9","NW","13"
"2018-03-03 23:56","10","NW","18"
"2018-03-04 00:06","7","NW","10"
"2018-03-04 00:16","9","NW","19"
"2018-03-04 00:26","11","NW","20"
"2018-03-04 00:36","9","NW","13"
"2018-03-04 00:46","7","WNW","11"
"2018-03-04 00:56","10","NW","17"
"2018-03-04 01:06","8","WNW","16"
"2018-03-04 01:16","10","WNW","15"
"2018-03-04 01:26","10","WNW","16"
"2018-03-04 01:36","11","WNW","17"
"2018-03-04 01:46","8","WNW","13"
"2018-03-04 01:56","10","WNW","14"
"2018-03-04 02:06","12","WNW","17"
"2018-03-04 02:16","10","WNW","13"
"2018-03-04 02:26","11","WNW","17"
"2018-03-04 02:36","9","WNW","14"
"2018-03-04 02:46","10","WNW","15"
"2018-03-04 02:56","14","WNW","22"
"2018-03-04 03:06","15","NW","30"
"2018-03-04 03:16","12","NW","20"
"2018-03-04 03:26","10","NW","15"
"2018-03-04 03:36","17","NW","27"
"2018-03-04 03:46","10","WNW","15"
"2018-03-04 03:56","11","WNW","16"
"2018-03-04 04:06","10","NW","18"
"2018-03-04 04:16","12","NW","20"
"2018-03-04 04:26","8","WNW","13"
"2018-03-04 04:36","8","NW","13"
"2018-03-04 04:46","8","WNW","13"
"2018-03-04 04:56","12","WNW","19"
"2018-03-04 05:06","13","WNW","21"
"2018-03-04 05:16","13","WNW","22"
"2018-03-04 05:26","13","WNW","19"
"2018-03-04 05:36","15","WNW","23"
"2018-03-04 05:46","13","NW","22"
"2018-03-04 05:56","10","NW","18"
"2018-03-04 06:06","17","WNW","23"
"2018-03-04 06:16","13","WNW","18"
"2018-03-04 06:26","12","WNW","20"
"2018-03-04 06:36","14","WNW","23"
"2018-03-04 06:46","14","WNW","25"
"2018-03-04 06:56","11","WNW","19"
"2018-03-04 07:06","16","WNW","22"
"2018-03-04 07:16","14","WNW","20"
"2018-03-04 07:26","20","WNW","27"
"2018-03-04 07:36","10","WNW","16"
"2018-03-04 07:46","9","WNW","18"
"2018-03-04 07:56","10","WNW","19"
"2018-03-04 08:06","12","NW","21"
"2018-03-04 08:16","16","NW","23"
"2018-03-04 08:26","11","WNW","18"
"2018-03-04 08:36","10","NW","21"
"2018-03-04 08:46","16","NW","33"
"2018-03-04 08:56","15","NW","25"
"2018-03-04 09:06","12","NW","27"
"2018-03-04 09:16","12","NW","26"
"2018-03-04 09:26","15","NW","22"
"2018-03-04 09:36","22","NW","32"
"2018-03-04 09:46","17","NNW","29"
"2018-03-04 09:56","14","NW","29"
"2018-03-04 10:06","10","NW","20"
"2018-03-04 10:16","18","NW","26"
"2018-03-04 10:26","17","NW","27"
"2018-03-04 10:36","17","NW","28"
"2018-03-04 10:46","15","NW","28"
"2018-03-04 10:56","20","NW","33"
"2018-03-04 11:06","17","NW","24"
"2018-03-04 11:16","16","NW","26"
"2018-03-04 11:26","11","NNW","22"
"2018-03-04 11:36","23","NW","33"
"2018-03-04 11:46","11","NW","31"
"2018-03-04 11:56","20","NW","31"
"2018-03-04 12:06","15","NW","30"
"2018-03-04 12:16","18","WNW","27"
"2018-03-04 12:26","19","WNW","33"
"2018-03-04 12:36","15","WNW","27"
"2018-03-04 12:46","19","NW","32"
"2018-03-04 12:56","12","NNW","23"
"2018-03-04 13:06","13","NW","24"
"2018-03-04 13:16","17","NW","26"
"2018-03-04 13:26","14","NW","27"
"2018-03-04 13:36","13","NW","22"
"2018-03-04 13:46","17","NW","27"
"2018-03-04 13:56","18","WNW","28"
"2018-03-04 14:07","17","NW","30"
"2018-03-04 14:16","20","NW","30"
"2018-03-04 14:26","14","NW","25"
"2018-03-04 14:36","17","NW","26"
"2018-03-04 14:46","20","NW","36"
"2018-03-04 14:56","17","NW","32"
"2018-03-04 15:06","18","NW","31"
"2018-03-04 15:16","13","NW","22"
"2018-03-04 15:26","15","NNW","24"
"2018-03-04 15:36","14","NW","32"
"2018-03-04 15:46","21","NW","28"
"2018-03-04 15:56","18","NW","24"
"2018-03-04 16:06","15","NW","27"
"2018-03-04 16:16","13","NW","27"
"2018-03-04 16:26","13","NW","25"
"2018-03-04 16:36","11","NW","18"
"2018-03-04 16:46","15","NW","26"
"2018-03-04 16:56","16","NW","29"
"2018-03-04 17:06","13","NW","19"
"2018-03-04 17:16","17","NW","24"
"2018-03-04 17:26","11","NW","17"
"2018-03-04 17:36","11","NW","17"
"2018-03-04 17:46","13","NW","17"
"2018-03-04 17:56","12","NW","21"
"2018-03-04 18:06","9","NW","14"
"2018-03-04 18:16","5","NNW","8"
"2018-03-04 18:26","8","NW","13"
"2018-03-04 18:36","9","NW","17"
"2018-03-04 18:46","9","NW","19"
"2018-03-04 18:56","13","NW","21"
"2018-03-04 19:06","9","NW","17"
"2018-03-04 19:16","12","NW","21"
"2018-03-04 19:26","9","NW","16"
"2018-03-04 19:36","8","NW","13"
"2018-03-04 19:46","10","NW","18"
"2018-03-04 19:56","9","NW","19"
"2018-03-04 20:06","11","NW","18"
"2018-03-04 20:16","12","NNW","17"
"2018-03-04 20:26","13","NW","23"
"2018-03-04 20:36","10","NW","21"
"2018-03-04 20:46","12","NW","24"
"2018-03-04 20:56","11","NW","18"
"2018-03-04 21:06","11","NNW","17"
"2018-03-04 21:16","12","NW","20"
"2018-03-04 21:26","10","NW","19"
"2018-03-04 21:36","12","NW","22"
"2018-03-04 21:46","13","NW","21"
"2018-03-04 21:56","11","NW","25"
"2018-03-04 22:06","12","NW","18"
"2018-03-04 22:16","13","NW","20"
"2018-03-04 22:26","9","NW","19"
"2018-03-04 22:36","13","NW","21"
"2018-03-04 22:46","9","NW","18"
"2018-03-04 22:56","5","NNW","10"
"2018-03-04 23:06","9","WNW","18"
"2018-03-04 23:16","15","NW","21"
"2018-03-04 23:26","9","NW","14"
"2018-03-04 23:36","10","NW","17"
"2018-03-04 23:46","12","WNW","23"
"2018-03-04 23:56","6","WNW","10"
"2018-03-05 00:06","6","WNW","13"
"2018-03-05 00:16","10","WNW","18"
"2018-03-05 00:26","6","WNW","10"
"2018-03-05 00:36","11","NW","20"
"2018-03-05 00:46","12","NW","21"
"2018-03-05 00:56","10","NW","16"
"2018-03-05 01:06","6","NW","9"
"2018-03-05 01:16","9","NW","14"
"2018-03-05 01:26","8","NW","13"
"2018-03-05 01:36","8","NW","16"
"2018-03-05 01:46","9","NW","14"
"2018-03-05 01:56","6","WNW","13"
"2018-03-05 02:06","6","WNW","12"
"2018-03-05 02:16","9","WNW","12"
"2018-03-05 02:26","10","NW","15"
"2018-03-05 02:36","9","NW","14"
"2018-03-05 02:46","8","NW","18"
"2018-03-05 02:56","8","NW","14"
"2018-03-05 03:06","7","NW","10"
"2018-03-05 03:16","14","NW","19"
"2018-03-05 03:26","7","NW","12"
"2018-03-05 03:36","9","WNW","17"
"2018-03-05 03:46","10","NW","16"
"2018-03-05 03:56","7","NW","10"
"2018-03-05 04:06","10","NW","15"
"2018-03-05 04:16","6","NW","12"
"2018-03-05 04:26","10","WNW","15"
"2018-03-05 04:36","6","NW","10"
"2018-03-05 04:46","8","NW","16"
"2018-03-05 04:56","6","NW","9"
"2018-03-05 05:06","10","NW","19"
"2018-03-05 05:16","13","NW","19"
"2018-03-05 05:26","9","NW","15"
"2018-03-05 05:36","8","NW","12"
"2018-03-05 05:46","10","NW","18"
"2018-03-05 05:56","6","WNW","9"
"2018-03-05 06:06","7","NW","13"
"2018-03-05 06:16","5","NW","8"
"2018-03-05 06:26","8","NW","13"
"2018-03-05 06:36","8","NW","11"
"2018-03-05 06:46","11","WNW","16"
"2018-03-05 06:56","6","NW","11"
"2018-03-05 07:06","9","NW","14"
"2018-03-05 07:16","6","WNW","8"
"2018-03-05 07:26","9","NW","16"
"2018-03-05 07:36","9","NW","15"
"2018-03-05 07:46","11","NW","19"
"2018-03-05 07:56","6","NW","13"
"2018-03-05 08:06","10","NW","21"
"2018-03-05 08:16","7","NW","13"
"2018-03-05 08:26","5","NW","10"
"2018-03-05 08:36","5","WNW","10"
"2018-03-05 08:46","6","WNW","12"
"2018-03-05 08:56","13","NW","17"
"2018-03-05 09:06","10","NW","16"
"2018-03-05 09:16","5","NW","12"
"2018-03-05 09:26","9","NW","14"
"2018-03-05 09:36","8","NNW","12"
"2018-03-05 09:46","11","NW","18"
"2018-03-05 09:56","13","NW","19"
"2018-03-05 10:06","9","NW","13"
"2018-03-05 10:16","10","NW","15"
"2018-03-05 10:26","7","WNW","12"
"2018-03-05 10:36","11","NW","17"
"2018-03-05 10:46","10","NW","14"
"2018-03-05 10:56","9","WNW","14"
"2018-03-05 11:06","11","NW","15"
"2018-03-05 11:16","8","NW","18"
"2018-03-05 11:26","12","WNW","18"
"2018-03-05 11:36","8","WNW","10"
"2018-03-05 11:46","9","WNW","15"
"2018-03-05 11:56","4","NNW","8"
"2018-03-05 12:06","14","WNW","19"
"2018-03-05 12:16","11","NW","15"
"2018-03-05 12:26","10","WNW","22"
"2018-03-05 12:36","10","NW","17"
"2018-03-05 12:46","9","NW","14"
"2018-03-05 12:56","12","WNW","20"
"2018-03-05 13:06","9","WNW","13"
"2018-03-05 13:16","6","NNW","12"
"2018-03-05 13:26","13","W","18"
"2018-03-05 13:36","7","WNW","17"
"2018-03-05 13:46","8","WNW","11"
"2018-03-05 13:56","9","WNW","13"
"2018-03-05 14:06","9","NW","15"
"2018-03-05 14:16","5","WNW","8"
"2018-03-05 14:26","4","NW","7"
"2018-03-05 14:36","7","WNW","12"
"2018-03-05 14:46","10","WNW","16"
"2018-03-05 14:56","7","NNW","14"
"2018-03-05 15:06","7","NW","12"
"2018-03-05 15:16","10","WNW","16"
"2018-03-05 15:26","8","NW","15"
"2018-03-05 15:36","6","NW","10"
"2018-03-05 15:46","5","WNW","9"
"2018-03-05 15:56","9","WNW","14"
"2018-03-05 16:06","8","NW","11"
"2018-03-05 16:16","10","WNW","14"
"2018-03-05 16:26","8","WNW","12"
"2018-03-05 16:36","9","WNW","15"
"2018-03-05 16:46","9","WNW","16"
"2018-03-05 16:56","10","WNW","12"
"2018-03-05 17:06","8","W","12"
"2018-03-05 17:16","6","WNW","10"
"2018-03-05 17:26","7","WNW","12"
"2018-03-05 17:36","7","WNW","10"
"2018-03-05 17:46","5","WNW","8"
"2018-03-05 17:56","9","WNW","12"
"2018-03-05 18:06","8","W","11"
"2018-03-05 18:16","7","WNW","10"
"2018-03-05 18:26","6","WNW","10"
"2018-03-05 18:36","4","WNW","7"
"2018-03-05 18:46","3","WNW","5"
"2018-03-05 18:56","4","W","6"
"2018-03-05 19:06","5","W","7"
"2018-03-05 19:16","5","W","7"
"2018-03-05 19:26","3","WNW","5"
