"Time EST","Pressure (kPa)"
"2017-12-01 00:06","100.52"
"2017-12-01 00:16","100.54"
"2017-12-01 00:26","100.54"
"2017-12-01 00:36","100.56"
"2017-12-01 00:46","100.56"
"2017-12-01 00:57","100.59"
"2017-12-01 01:06","100.60"
"2017-12-01 01:16","100.63"
"2017-12-01 01:26","100.64"
"2017-12-01 01:36","100.67"
"2017-12-01 01:46","100.68"
"2017-12-01 01:56","100.71"
"2017-12-01 02:06","100.72"
"2017-12-01 02:16","100.75"
"2017-12-01 02:26","100.75"
"2017-12-01 02:36","100.77"
"2017-12-01 02:46","100.77"
"2017-12-01 02:57","100.80"
"2017-12-01 03:16","100.82"
"2017-12-01 03:36","100.85"
"2017-12-01 03:57","100.89"
"2017-12-01 04:16","100.92"
"2017-12-01 04:36","100.98"
"2017-12-01 04:57","101.02"
"2017-12-01 05:16","101.06"
"2017-12-01 05:36","101.10"
"2017-12-01 05:57","101.13"
"2017-12-01 06:16","101.18"
"2017-12-01 06:36","101.21"
"2017-12-01 06:57","101.25"
"2017-12-01 07:16","101.29"
"2017-12-01 07:36","101.33"
"2017-12-01 07:57","101.38"
"2017-12-01 08:16","101.41"
"2017-12-01 08:36","101.45"
"2017-12-01 08:57","101.47"
"2017-12-01 09:16","101.53"
"2017-12-01 09:36","101.55"
"2017-12-01 09:57","101.57"
"2017-12-01 10:16","101.58"
"2017-12-01 10:36","101.57"
"2017-12-01 10:57","101.56"
"2017-12-01 11:16","101.57"
"2017-12-01 11:36","101.58"
"2017-12-01 11:57","101.58"
"2017-12-01 12:16","101.59"
"2017-12-01 12:36","101.58"
"2017-12-01 12:57","101.58"
"2017-12-01 13:16","101.60"
"2017-12-01 13:36","101.60"
"2017-12-01 13:46","101.61"
"2017-12-01 13:57","101.61"
"2017-12-01 14:06","101.61"
"2017-12-01 14:16","101.64"
"2017-12-01 14:26","101.64"
"2017-12-01 14:36","101.66"
"2017-12-01 14:46","101.67"
"2017-12-01 14:57","101.69"
"2017-12-01 15:06","101.70"
"2017-12-01 15:16","101.72"
"2017-12-01 15:26","101.73"
"2017-12-01 15:36","101.76"
"2017-12-01 15:46","101.77"
"2017-12-01 15:57","101.77"
"2017-12-01 16:06","101.75"
"2017-12-01 16:16","101.77"
"2017-12-01 16:26","101.77"
"2017-12-01 16:36","101.78"
"2017-12-01 16:46","101.78"
"2017-12-01 16:57","101.80"
"2017-12-01 17:06","101.82"
"2017-12-01 17:16","101.84"
"2017-12-01 17:26","101.86"
"2017-12-01 17:36","101.88"
"2017-12-01 17:46","101.89"
"2017-12-01 17:57","101.89"
"2017-12-01 18:06","101.89"
"2017-12-01 18:16","101.90"
"2017-12-01 18:26","101.91"
"2017-12-01 18:36","101.91"
"2017-12-01 18:46","101.91"
"2017-12-01 18:57","101.91"
"2017-12-01 19:06","101.91"
"2017-12-01 19:16","101.91"
"2017-12-01 19:26","101.91"
"2017-12-01 19:36","101.90"
"2017-12-01 19:46","101.91"
"2017-12-01 19:57","101.90"
"2017-12-01 20:06","101.90"
"2017-12-01 20:16","101.90"
"2017-12-01 20:26","101.90"
"2017-12-01 20:36","101.89"
"2017-12-01 20:46","101.89"
"2017-12-01 20:57","101.92"
"2017-12-01 21:06","101.93"
"2017-12-01 21:16","101.94"
"2017-12-01 21:26","101.95"
"2017-12-01 21:36","101.95"
"2017-12-01 21:46","101.95"
"2017-12-01 21:57","101.94"
"2017-12-01 22:06","101.93"
"2017-12-01 22:16","101.92"
"2017-12-01 22:26","101.93"
"2017-12-01 22:36","101.92"
"2017-12-01 22:46","101.92"
"2017-12-01 22:57","101.89"
"2017-12-01 23:06","101.89"
"2017-12-01 23:16","101.88"
"2017-12-01 23:26","101.87"
"2017-12-01 23:36","101.86"
"2017-12-01 23:46","101.87"
"2017-12-01 23:57","101.89"
"2017-12-02 00:06","101.88"
"2017-12-02 00:16","101.87"
"2017-12-02 00:26","101.86"
"2017-12-02 00:36","101.85"
"2017-12-02 00:46","101.86"
"2017-12-02 00:56","101.88"
"2017-12-02 01:06","101.86"
"2017-12-02 01:16","101.87"
"2017-12-02 01:26","101.87"
"2017-12-02 01:36","101.90"
"2017-12-02 01:46","101.90"
"2017-12-02 01:57","101.90"
"2017-12-02 02:06","101.90"
"2017-12-02 02:16","101.91"
"2017-12-02 02:26","101.92"
"2017-12-02 02:36","101.90"
"2017-12-02 02:46","101.89"
"2017-12-02 02:57","101.86"
"2017-12-02 03:06","101.86"
"2017-12-02 03:16","101.86"
"2017-12-02 03:26","101.86"
"2017-12-02 03:36","101.86"
"2017-12-02 03:46","101.85"
"2017-12-02 03:56","101.87"
"2017-12-02 04:06","101.86"
"2017-12-02 04:16","101.85"
"2017-12-02 04:26","101.86"
"2017-12-02 04:36","101.89"
"2017-12-02 04:46","101.89"
"2017-12-02 04:57","101.88"
"2017-12-02 05:06","101.88"
"2017-12-02 05:16","101.90"
"2017-12-02 05:26","101.89"
"2017-12-02 05:36","101.88"
"2017-12-02 05:46","101.89"
"2017-12-02 05:57","101.88"
"2017-12-02 06:06","101.88"
"2017-12-02 06:16","101.89"
"2017-12-02 06:26","101.89"
"2017-12-02 06:36","101.89"
"2017-12-02 06:46","101.90"
"2017-12-02 06:57","101.90"
"2017-12-02 07:06","101.89"
"2017-12-02 07:16","101.90"
"2017-12-02 07:26","101.90"
"2017-12-02 07:36","101.91"
"2017-12-02 07:46","101.91"
"2017-12-02 07:57","101.90"
"2017-12-02 08:06","101.90"
"2017-12-02 08:16","101.90"
"2017-12-02 08:26","101.90"
"2017-12-02 08:36","101.90"
"2017-12-02 08:46","101.90"
"2017-12-02 08:57","101.89"
"2017-12-02 09:06","101.90"
"2017-12-02 09:16","101.90"
"2017-12-02 09:26","101.90"
"2017-12-02 09:36","101.88"
"2017-12-02 09:46","101.87"
"2017-12-02 09:57","101.86"
"2017-12-02 10:06","101.86"
"2017-12-02 10:16","101.84"
"2017-12-02 10:26","101.83"
"2017-12-02 10:36","101.81"
"2017-12-02 10:46","101.80"
"2017-12-02 10:57","101.78"
"2017-12-02 11:06","101.77"
"2017-12-02 11:16","101.76"
"2017-12-02 11:26","101.75"
"2017-12-02 11:36","101.73"
"2017-12-02 11:46","101.73"
"2017-12-02 11:57","101.71"
"2017-12-02 12:06","101.70"
"2017-12-02 12:16","101.67"
"2017-12-02 12:26","101.68"
"2017-12-02 12:36","101.67"
"2017-12-02 12:46","101.66"
"2017-12-02 12:57","101.65"
"2017-12-02 13:06","101.65"
"2017-12-02 13:16","101.64"
"2017-12-02 13:26","101.65"
"2017-12-02 13:36","101.63"
"2017-12-02 13:46","101.62"
"2017-12-02 13:57","101.63"
"2017-12-02 14:06","101.62"
"2017-12-02 14:16","101.63"
"2017-12-02 14:26","101.62"
"2017-12-02 14:36","101.62"
"2017-12-02 14:46","101.62"
"2017-12-02 14:57","101.61"
"2017-12-02 15:06","101.60"
"2017-12-02 15:16","101.60"
"2017-12-02 15:26","101.60"
"2017-12-02 15:36","101.60"
"2017-12-02 15:46","101.60"
"2017-12-02 15:57","101.58"
"2017-12-02 16:06","101.57"
"2017-12-02 16:16","101.58"
"2017-12-02 16:26","101.58"
"2017-12-02 16:36","101.57"
"2017-12-02 16:46","101.58"
"2017-12-02 16:57","101.60"
"2017-12-02 17:06","101.60"
"2017-12-02 17:16","101.61"
"2017-12-02 17:26","101.62"
"2017-12-02 17:36","101.64"
"2017-12-02 17:46","101.65"
"2017-12-02 17:57","101.66"
"2017-12-02 18:06","101.66"
"2017-12-02 18:16","101.65"
"2017-12-02 18:26","101.65"
"2017-12-02 18:36","101.66"
"2017-12-02 18:46","101.68"
"2017-12-02 18:57","101.68"
"2017-12-02 19:06","101.68"
"2017-12-02 19:16","101.69"
"2017-12-02 19:26","101.69"
"2017-12-02 19:36","101.68"
"2017-12-02 19:46","101.69"
"2017-12-02 19:57","101.69"
"2017-12-02 20:06","101.69"
"2017-12-02 20:16","101.68"
"2017-12-02 20:26","101.69"
"2017-12-02 20:36","101.69"
"2017-12-02 20:46","101.69"
"2017-12-02 20:57","101.69"
"2017-12-02 21:06","101.69"
"2017-12-02 21:16","101.69"
"2017-12-02 21:26","101.69"
"2017-12-02 21:36","101.68"
"2017-12-02 21:46","101.68"
"2017-12-02 21:57","101.68"
"2017-12-02 22:06","101.67"
"2017-12-02 22:16","101.66"
"2017-12-02 22:26","101.66"
"2017-12-02 22:36","101.67"
"2017-12-02 22:46","101.67"
"2017-12-02 22:57","101.66"
"2017-12-02 23:06","101.66"
"2017-12-02 23:16","101.65"
"2017-12-02 23:26","101.66"
"2017-12-02 23:36","101.65"
"2017-12-02 23:46","101.66"
"2017-12-02 23:57","101.65"
"2017-12-03 00:06","101.65"
"2017-12-03 00:16","101.64"
"2017-12-03 00:26","101.64"
"2017-12-03 00:36","101.63"
"2017-12-03 00:46","101.62"
"2017-12-03 00:57","101.62"
"2017-12-03 01:06","101.62"
"2017-12-03 01:16","101.62"
"2017-12-03 01:26","101.61"
"2017-12-03 01:36","101.59"
"2017-12-03 01:46","101.61"
"2017-12-03 01:57","101.63"
"2017-12-03 02:06","101.64"
"2017-12-03 02:16","101.64"
"2017-12-03 02:26","101.63"
"2017-12-03 02:36","101.63"
"2017-12-03 02:46","101.62"
"2017-12-03 02:58","101.60"
"2017-12-03 03:06","101.60"
"2017-12-03 03:16","101.60"
"2017-12-03 03:26","101.59"
"2017-12-03 03:36","101.58"
"2017-12-03 03:46","101.58"
"2017-12-03 03:57","101.58"
"2017-12-03 04:06","101.58"
"2017-12-03 04:16","101.58"
"2017-12-03 04:26","101.57"
"2017-12-03 04:36","101.59"
"2017-12-03 04:46","101.58"
"2017-12-03 04:57","101.57"
"2017-12-03 05:06","101.57"
"2017-12-03 05:16","101.59"
"2017-12-03 05:26","101.59"
"2017-12-03 05:36","101.60"
"2017-12-03 05:46","101.60"
"2017-12-03 05:57","101.62"
"2017-12-03 06:06","101.63"
"2017-12-03 06:16","101.64"
"2017-12-03 06:26","101.65"
"2017-12-03 06:36","101.65"
"2017-12-03 06:46","101.64"
"2017-12-03 06:57","101.64"
"2017-12-03 07:06","101.64"
"2017-12-03 07:16","101.66"
"2017-12-03 07:26","101.66"
"2017-12-03 07:36","101.67"
"2017-12-03 07:46","101.67"
"2017-12-03 07:57","101.69"
"2017-12-03 08:06","101.68"
"2017-12-03 08:16","101.68"
"2017-12-03 08:26","101.68"
"2017-12-03 08:36","101.69"
"2017-12-03 08:46","101.69"
"2017-12-03 08:58","101.69"
"2017-12-03 09:06","101.69"
"2017-12-03 09:16","101.68"
"2017-12-03 09:26","101.69"
"2017-12-03 09:36","101.67"
"2017-12-03 09:46","101.68"
"2017-12-03 09:57","101.68"
"2017-12-03 10:06","101.68"
"2017-12-03 10:16","101.68"
"2017-12-03 10:26","101.68"
"2017-12-03 10:36","101.68"
"2017-12-03 10:46","101.67"
"2017-12-03 10:58","101.63"
"2017-12-03 11:06","101.63"
"2017-12-03 11:16","101.62"
"2017-12-03 11:26","101.62"
"2017-12-03 11:36","101.61"
"2017-12-03 11:46","101.59"
"2017-12-03 11:58","101.58"
"2017-12-03 12:06","101.57"
"2017-12-03 12:16","101.56"
"2017-12-03 12:26","101.55"
"2017-12-03 12:36","101.55"
"2017-12-03 12:46","101.55"
"2017-12-03 12:57","101.57"
"2017-12-03 13:06","101.56"
"2017-12-03 13:16","101.56"
"2017-12-03 13:26","101.56"
"2017-12-03 13:36","101.56"
"2017-12-03 13:46","101.56"
"2017-12-03 13:58","101.55"
"2017-12-03 14:06","101.55"
"2017-12-03 14:16","101.57"
"2017-12-03 14:26","101.58"
"2017-12-03 14:36","101.59"
"2017-12-03 14:46","101.59"
"2017-12-03 14:57","101.61"
"2017-12-03 15:06","101.62"
"2017-12-03 15:16","101.63"
"2017-12-03 15:26","101.63"
"2017-12-03 15:36","101.67"
"2017-12-03 15:46","101.66"
"2017-12-03 15:57","101.66"
"2017-12-03 16:06","101.67"
"2017-12-03 16:16","101.69"
"2017-12-03 16:26","101.69"
"2017-12-03 16:36","101.71"
"2017-12-03 16:46","101.73"
"2017-12-03 16:58","101.74"
"2017-12-03 17:06","101.74"
"2017-12-03 17:16","101.75"
"2017-12-03 17:26","101.75"
"2017-12-03 17:36","101.76"
"2017-12-03 17:46","101.78"
"2017-12-03 17:57","101.77"
"2017-12-03 18:06","101.78"
"2017-12-03 18:16","101.79"
"2017-12-03 18:26","101.79"
"2017-12-03 18:36","101.81"
"2017-12-03 18:46","101.81"
"2017-12-03 18:57","101.84"
"2017-12-03 19:06","101.84"
"2017-12-03 19:16","101.86"
"2017-12-03 19:26","101.87"
