"Time EST","Wind Speed (km/h)","Wind Direction","Wind Gusts (km/h)"
"2018-01-01 00:04","0","NNE","1"
"2018-01-01 00:14","0","NNE","1"
"2018-01-01 00:24","0","NNE","0"
"2018-01-01 00:34","0","NNE","1"
"2018-01-01 00:44","0","E","1"
"2018-01-01 00:54","0","E","2"
"2018-01-01 01:04","0","WNW","1"
"2018-01-01 01:14","0","S","2"
"2018-01-01 01:24","0","W","0"
"2018-01-01 01:34","0","NNW","1"
"2018-01-01 01:44","0","ENE","0"
"2018-01-01 01:54","0","S","0"
"2018-01-01 02:04","0","S","0"
"2018-01-01 02:14","0","S","2"
"2018-01-01 02:24","0","NE","2"
"2018-01-01 02:34","0","NNE","0"
"2018-01-01 02:44","0","NNW","0"
"2018-01-01 02:54","0","NNW","0"
"2018-01-01 03:04","0","S","0"
"2018-01-01 03:14","0","SSE","0"
"2018-01-01 03:24","0","SSE","0"
"2018-01-01 03:34","0","SSW","0"
"2018-01-01 03:44","0","NW","0"
"2018-01-01 03:54","0","NW","0"
"2018-01-01 04:04","0","SSE","0"
"2018-01-01 04:14","0","S","0"
"2018-01-01 04:24","0","SE","2"
"2018-01-01 04:34","0","S","0"
"2018-01-01 04:44","0","S","0"
"2018-01-01 04:54","0","S","1"
"2018-01-01 05:04","0","SSW","1"
"2018-01-01 05:14","2","S","3"
"2018-01-01 05:24","0","S","2"
"2018-01-01 05:34","0","SW","0"
"2018-01-01 05:44","1","SE","3"
"2018-01-01 05:54","0","ESE","1"
"2018-01-01 06:04","2","SE","3"
"2018-01-01 06:14","0","ESE","3"
"2018-01-01 06:24","0","E","1"
"2018-01-01 06:34","0","NE","3"
"2018-01-01 06:44","0","W","0"
"2018-01-01 06:54","0","W","0"
"2018-01-01 07:04","0","WNW","0"
"2018-01-01 07:14","0","WNW","0"
"2018-01-01 07:24","0","NW","0"
"2018-01-01 07:34","0","WNW","0"
"2018-01-01 07:44","8","NW","20"
"2018-01-01 07:54","8","WNW","14"
"2018-01-01 08:04","8","NW","19"
"2018-01-01 08:14","10","NW","21"
"2018-01-01 08:24","7","NNW","23"
"2018-01-01 08:34","8","NW","23"
"2018-01-01 08:44","10","NNW","21"
"2018-01-01 08:54","8","NNW","19"
"2018-01-01 09:04","14","NNW","28"
"2018-01-01 09:14","14","NW","27"
"2018-01-01 09:24","15","NW","28"
"2018-01-01 09:34","10","NW","22"
"2018-01-01 09:44","14","WNW","28"
"2018-01-01 09:54","15","WNW","33"
"2018-01-01 10:04","17","WNW","33"
"2018-01-01 10:14","17","NW","31"
"2018-01-01 10:24","20","WNW","34"
"2018-01-01 10:34","22","NW","37"
"2018-01-01 10:44","19","NW","39"
"2018-01-01 10:54","15","WNW","33"
"2018-01-01 11:04","24","NW","36"
"2018-01-01 11:14","13","NW","34"
"2018-01-01 11:24","17","NW","38"
"2018-01-01 11:34","16","NW","31"
"2018-01-01 11:44","14","WNW","34"
"2018-01-01 11:54","17","NW","37"
"2018-01-01 12:04","21","WNW","37"
"2018-01-01 12:14","19","WNW","38"
"2018-01-01 12:24","14","NW","33"
"2018-01-01 12:34","17","WNW","32"
"2018-01-01 12:44","13","WNW","29"
"2018-01-01 12:54","15","WNW","30"
"2018-01-01 13:04","13","NNW","24"
"2018-01-01 13:14","11","NW","32"
"2018-01-01 13:24","16","WNW","37"
"2018-01-01 13:34","24","WNW","44"
"2018-01-01 13:44","18","NW","33"
"2018-01-01 13:54","15","NNW","36"
"2018-01-01 14:04","18","NW","32"
"2018-01-01 14:14","12","NW","24"
"2018-01-01 14:24","19","WNW","30"
"2018-01-01 14:34","12","WNW","27"
"2018-01-01 14:44","16","WNW","27"
"2018-01-01 14:54","22","WNW","33"
"2018-01-01 15:04","18","WNW","31"
"2018-01-01 15:14","18","NW","32"
"2018-01-01 15:24","18","NW","34"
"2018-01-01 15:34","15","WNW","27"
"2018-01-01 15:44","15","NW","27"
"2018-01-01 15:54","12","WNW","30"
"2018-01-01 16:04","14","NW","32"
"2018-01-01 16:14","12","NW","25"
"2018-01-01 16:24","13","NW","26"
"2018-01-01 16:34","10","WNW","25"
"2018-01-01 16:44","8","WNW","22"
"2018-01-01 16:54","9","NW","16"
"2018-01-01 17:04","9","NW","16"
"2018-01-01 17:14","6","NW","13"
"2018-01-01 17:24","4","WNW","10"
"2018-01-01 17:34","6","WNW","9"
"2018-01-01 17:44","8","WNW","15"
"2018-01-01 17:54","7","NW","16"
"2018-01-01 18:04","8","NW","19"
"2018-01-01 18:14","5","NNW","13"
"2018-01-01 18:24","4","NW","15"
"2018-01-01 18:34","4","NNW","12"
"2018-01-01 18:44","2","WNW","6"
"2018-01-01 18:54","1","W","3"
"2018-01-01 19:04","3","NW","4"
"2018-01-01 19:14","3","NW","5"
"2018-01-01 19:24","4","NNW","6"
"2018-01-01 19:34","3","N","9"
"2018-01-01 19:44","4","NW","8"
"2018-01-01 19:54","3","NNW","8"
"2018-01-01 20:04","4","NNW","9"
"2018-01-01 20:14","3","N","6"
"2018-01-01 20:24","1","N","4"
"2018-01-01 20:34","0","SSE","6"
"2018-01-01 20:44","1","ESE","3"
"2018-01-01 20:54","1","ESE","3"
"2018-01-01 21:04","0","ESE","3"
"2018-01-01 21:14","0","E","1"
"2018-01-01 21:24","0","NW","0"
"2018-01-01 21:34","0","ENE","3"
"2018-01-01 21:44","1","NE","3"
"2018-01-01 21:54","0","NNE","3"
"2018-01-01 22:04","1","NNE","2"
"2018-01-01 22:14","1","N","3"
"2018-01-01 22:24","1","WNW","3"
"2018-01-01 22:34","0","W","2"
"2018-01-01 22:44","0","WSW","3"
"2018-01-01 22:54","0","NW","3"
"2018-01-01 23:04","0","NNE","0"
"2018-01-01 23:14","0","NNE","0"
"2018-01-01 23:24","0","NNE","0"
"2018-01-01 23:34","0","NW","0"
"2018-01-01 23:44","1","NW","3"
"2018-01-01 23:54","2","WNW","3"
"2018-01-02 00:04","4","WNW","5"
"2018-01-02 00:14","6","WNW","11"
"2018-01-02 00:24","7","WNW","10"
"2018-01-02 00:34","6","WNW","12"
"2018-01-02 00:44","7","NW","12"
"2018-01-02 00:54","5","NW","14"
"2018-01-02 01:04","6","WNW","12"
"2018-01-02 01:14","6","WNW","9"
"2018-01-02 01:24","3","NW","8"
"2018-01-02 01:34","0","W","3"
"2018-01-02 01:44","0","SW","3"
"2018-01-02 01:54","0","S","0"
"2018-01-02 02:04","3","SSE","3"
"2018-01-02 02:14","1","ESE","3"
"2018-01-02 02:24","0","ESE","1"
"2018-01-02 02:34","2","W","4"
"2018-01-02 02:44","10","WNW","21"
"2018-01-02 02:54","13","W","25"
"2018-01-02 03:04","25","WNW","35"
"2018-01-02 03:14","18","WNW","39"
"2018-01-02 03:24","19","W","31"
"2018-01-02 03:34","17","WNW","36"
"2018-01-02 03:44","15","W","32"
"2018-01-02 03:54","16","WNW","32"
"2018-01-02 04:04","16","W","28"
"2018-01-02 04:14","17","W","31"
"2018-01-02 04:24","19","W","37"
"2018-01-02 04:34","18","W","37"
"2018-01-02 04:44","17","W","35"
"2018-01-02 04:54","20","WNW","37"
"2018-01-02 05:04","15","W","38"
"2018-01-02 05:14","20","W","42"
"2018-01-02 05:24","15","W","38"
"2018-01-02 05:34","20","W","35"
"2018-01-02 05:44","18","W","39"
"2018-01-02 05:54","16","W","36"
"2018-01-02 06:04","19","WNW","31"
"2018-01-02 06:14","21","W","46"
"2018-01-02 06:24","22","WNW","38"
"2018-01-02 06:34","19","W","40"
"2018-01-02 06:44","19","W","41"
"2018-01-02 06:54","20","W","42"
"2018-01-02 07:04","14","W","36"
"2018-01-02 07:14","16","W","39"
"2018-01-02 07:24","21","W","38"
"2018-01-02 07:34","16","WNW","42"
"2018-01-02 07:44","19","WNW","41"
"2018-01-02 07:54","21","W","33"
"2018-01-02 08:04","20","W","40"
"2018-01-02 08:14","20","W","41"
"2018-01-02 08:24","21","W","34"
"2018-01-02 08:34","16","W","36"
"2018-01-02 08:44","23","W","45"
"2018-01-02 08:54","24","W","44"
"2018-01-02 09:04","23","W","44"
"2018-01-02 09:14","21","W","34"
"2018-01-02 09:24","20","WSW","44"
"2018-01-02 09:34","24","W","48"
"2018-01-02 09:44","19","W","39"
"2018-01-02 09:54","23","WNW","40"
"2018-01-02 10:04","19","W","51"
"2018-01-02 10:14","","W","39"
"2018-01-02 10:24","21","W","37"
"2018-01-02 10:34","20","W","38"
"2018-01-02 10:44","22","W","34"
"2018-01-02 10:54","23","W","49"
"2018-01-02 11:04","21","W","37"
"2018-01-02 11:14","18","W","42"
"2018-01-02 11:24","23","W","43"
"2018-01-02 11:34","24","W","37"
"2018-01-02 11:44","22","WNW","41"
"2018-01-02 11:54","21","W","47"
"2018-01-02 12:04","22","W","42"
"2018-01-02 12:14","24","W","41"
"2018-01-02 12:24","23","WSW","46"
"2018-01-02 12:34","22","W","42"
"2018-01-02 12:44","23","W","44"
"2018-01-02 12:54","25","WNW","43"
"2018-01-02 13:04","20","W","40"
"2018-01-02 13:14","19","W","40"
"2018-01-02 13:24","19","WSW","37"
"2018-01-02 13:34","21","W","40"
"2018-01-02 13:44","23","WSW","41"
"2018-01-02 13:54","20","W","44"
"2018-01-02 14:04","18","WNW","40"
"2018-01-02 14:14","20","W","35"
"2018-01-02 14:24","22","W","37"
"2018-01-02 14:34","19","W","38"
"2018-01-02 14:44","17","WSW","38"
"2018-01-02 14:54","19","WNW","35"
"2018-01-02 15:04","22","W","44"
"2018-01-02 15:14","22","W","37"
"2018-01-02 15:24","14","W","35"
"2018-01-02 15:34","17","W","36"
"2018-01-02 15:44","15","W","32"
"2018-01-02 15:54","19","W","40"
"2018-01-02 16:04","18","WNW","34"
"2018-01-02 16:14","17","W","35"
"2018-01-02 16:24","22","W","36"
"2018-01-02 16:34","15","W","32"
"2018-01-02 16:44","17","WNW","37"
"2018-01-02 16:54","17","WSW","35"
"2018-01-02 17:04","15","W","31"
"2018-01-02 17:14","17","W","31"
"2018-01-02 17:24","20","W","38"
"2018-01-02 17:34","8","WSW","32"
"2018-01-02 17:44","14","W","33"
"2018-01-02 17:54","12","WNW","32"
"2018-01-02 18:04","15","W","28"
"2018-01-02 18:14","18","W","30"
"2018-01-02 18:24","13","W","30"
"2018-01-02 18:34","14","WSW","32"
"2018-01-02 18:44","13","W","30"
"2018-01-02 18:54","13","WSW","32"
"2018-01-02 19:04","14","WSW","29"
"2018-01-02 19:14","14","WSW","29"
"2018-01-02 19:24","12","SW","35"
"2018-01-02 19:34","14","W","36"
"2018-01-02 19:44","14","W","30"
"2018-01-02 19:54","12","WSW","33"
"2018-01-02 20:04","18","WSW","36"
"2018-01-02 20:14","15","WSW","32"
"2018-01-02 20:24","14","W","39"
"2018-01-02 20:34","14","WSW","33"
"2018-01-02 20:44","14","SW","32"
"2018-01-02 20:54","14","W","32"
"2018-01-02 21:04","18","W","34"
"2018-01-02 21:14","16","W","44"
"2018-01-02 21:24","18","W","37"
"2018-01-02 21:34","15","WSW","40"
"2018-01-02 21:44","17","W","35"
"2018-01-02 21:54","13","W","33"
"2018-01-02 22:04","14","W","40"
"2018-01-02 22:14","17","WNW","41"
"2018-01-02 22:24","17","W","34"
"2018-01-02 22:34","16","W","35"
"2018-01-02 22:44","18","W","35"
"2018-01-02 22:54","14","W","26"
"2018-01-02 23:04","18","W","32"
"2018-01-02 23:14","14","WNW","28"
"2018-01-02 23:24","12","W","27"
"2018-01-02 23:34","14","W","26"
"2018-01-02 23:44","17","W","29"
"2018-01-02 23:54","9","WSW","31"
"2018-01-03 00:04","17","W","34"
"2018-01-03 00:14","13","W","27"
"2018-01-03 00:24","15","WSW","33"
"2018-01-03 00:34","12","WSW","27"
"2018-01-03 00:44","17","WSW","30"
"2018-01-03 00:54","12","W","26"
"2018-01-03 01:04","14","W","32"
"2018-01-03 01:14","15","W","41"
"2018-01-03 01:24","14","W","34"
"2018-01-03 01:34","14","W","28"
"2018-01-03 01:44","13","W","27"
"2018-01-03 01:54","12","SW","30"
"2018-01-03 02:24","9","SW","24"
"2018-01-03 02:34","12","WSW","29"
"2018-01-03 02:44","9","WSW","27"
"2018-01-03 02:54","5","W","26"
"2018-01-03 03:04","9","SW","24"
"2018-01-03 03:14","8","W","21"
"2018-01-03 03:24","9","SSW","24"
"2018-01-03 03:34","10","WSW","21"
"2018-01-03 03:44","6","SW","18"
"2018-01-03 03:54","6","SSW","19"
"2018-01-03 04:04","9","SW","19"
"2018-01-03 04:14","13","WSW","24"
"2018-01-03 04:24","8","WSW","28"
"2018-01-03 04:34","8","WSW","21"
"2018-01-03 04:44","9","WSW","25"
"2018-01-03 04:54","8","SW","20"
"2018-01-03 05:04","10","W","28"
"2018-01-03 05:14","10","SW","22"
"2018-01-03 05:24","9","SW","23"
"2018-01-03 05:34","10","SW","28"
"2018-01-03 05:44","8","W","23"
"2018-01-03 05:54","9","SW","29"
"2018-01-03 06:04","11","SW","26"
"2018-01-03 06:15","8","NW","23"
"2018-01-03 06:24","9","W","21"
"2018-01-03 06:34","12","SW","28"
"2018-01-03 06:44","12","SSW","23"
"2018-01-03 06:54","6","WSW","26"
"2018-01-03 07:04","7","SW","22"
"2018-01-03 07:14","9","SW","25"
"2018-01-03 07:24","10","WSW","23"
"2018-01-03 07:34","9","SSW","28"
"2018-01-03 07:44","11","SW","26"
"2018-01-03 07:54","9","SW","23"
"2018-01-03 08:04","9","SW","23"
"2018-01-03 08:15","14","WSW","31"
"2018-01-03 08:24","10","WSW","30"
"2018-01-03 08:34","12","W","25"
"2018-01-03 08:44","11","SW","28"
"2018-01-03 08:54","13","SW","30"
"2018-01-03 09:04","14","SW","35"
"2018-01-03 09:19","10","WSW","33"
"2018-01-03 09:24","12","SW","30"
"2018-01-03 09:44","10","WSW","34"
"2018-01-03 09:54","12","WSW","24"
"2018-01-03 10:04","10","WSW","25"
"2018-01-03 10:14","12","SW","24"
"2018-01-03 10:24","13","WSW","31"
"2018-01-03 10:34","13","WSW","24"
"2018-01-03 10:44","10","WSW","27"
"2018-01-03 10:54","15","SW","28"
"2018-01-03 11:04","12","WSW","29"
"2018-01-03 11:14","10","WSW","23"
"2018-01-03 11:24","10","SW","26"
"2018-01-03 11:34","12","SW","23"
"2018-01-03 11:44","13","SW","32"
"2018-01-03 11:54","10","SW","26"
"2018-01-03 12:04","9","SW","24"
"2018-01-03 12:24","5","SW","20"
"2018-01-03 12:34","13","SW","24"
"2018-01-03 12:44","10","SW","28"
"2018-01-03 12:57","13","WSW","23"
"2018-01-03 13:04","12","SW","25"
"2018-01-03 13:15","11","SW","23"
"2018-01-03 13:24","9","WSW","23"
"2018-01-03 13:34","13","SW","23"
"2018-01-03 13:44","12","SW","24"
"2018-01-03 13:54","10","WSW","21"
"2018-01-03 14:04","13","WSW","27"
"2018-01-03 14:14","8","SW","26"
"2018-01-03 14:24","10","WSW","20"
"2018-01-03 14:34","7","W","22"
"2018-01-03 14:44","9","SW","24"
"2018-01-03 14:54","8","W","22"
"2018-01-03 15:04","8","SW","23"
"2018-01-03 15:14","9","W","20"
"2018-01-03 15:24","10","SW","24"
"2018-01-03 15:34","12","WSW","21"
"2018-01-03 15:44","7","W","17"
"2018-01-03 15:54","9","WSW","27"
"2018-01-03 16:04","12","SW","20"
"2018-01-03 16:14","6","W","17"
"2018-01-03 16:24","9","SW","17"
"2018-01-03 16:34","10","SW","19"
"2018-01-03 16:44","8","SW","23"
"2018-01-03 16:54","11","WSW","28"
"2018-01-03 17:04","9","WSW","20"
"2018-01-03 17:17","11","W","21"
"2018-01-03 17:24","10","W","26"
"2018-01-03 17:44","9","NW","18"
"2018-01-03 18:03","17","NW","25"
"2018-01-03 18:04","14","WNW","25"
"2018-01-03 18:24","11","WNW","26"
"2018-01-03 18:34","11","WNW","22"
"2018-01-03 18:44","9","WNW","16"
"2018-01-03 18:54","8","WNW","20"
"2018-01-03 19:04","14","NW","23"
"2018-01-03 19:14","8","W","19"
"2018-01-03 19:24","5","WNW","12"
"2018-01-03 19:34","6","WNW","14"
"2018-01-03 19:44","6","WNW","12"
"2018-01-03 19:54","6","WNW","12"
"2018-01-03 20:04","4","W","13"
"2018-01-03 20:14","6","WNW","10"
"2018-01-03 20:24","10","WNW","18"
"2018-01-03 20:34","11","NW","16"
"2018-01-03 20:44","11","WNW","16"
"2018-01-03 20:54","6","NW","14"
"2018-01-03 21:04","4","NW","11"
"2018-01-03 21:14","3","NNW","7"
"2018-01-03 21:24","4","N","5"
"2018-01-03 21:34","4","NNE","7"
"2018-01-03 21:44","6","N","14"
"2018-01-03 21:54","11","N","22"
"2018-01-03 22:04","6","NW","21"
"2018-01-03 22:15","9","NNW","20"
"2018-01-03 22:24","13","NNW","24"
"2018-01-03 22:34","20","NW","36"
"2018-01-03 22:44","10","WNW","30"
"2018-01-03 22:54","17","WNW","31"
"2018-01-03 23:04","22","WNW","35"
"2018-01-03 23:14","12","WNW","26"
"2018-01-03 23:24","15","WNW","28"
"2018-01-03 23:34","12","NW","25"
"2018-01-03 23:44","9","NW","23"
"2018-01-04 00:04","9","WNW","21"
"2018-01-04 00:14","12","WNW","27"
"2018-01-04 00:24","13","NW","24"
"2018-01-04 00:34","8","WNW","26"
"2018-01-04 00:44","9","NW","18"
"2018-01-04 00:54","10","NW","22"
"2018-01-04 01:04","7","NNW","23"
"2018-01-04 01:24","8","NW","22"
"2018-01-04 01:35","14","NW","27"
"2018-01-04 01:44","8","N","21"
"2018-01-04 01:54","11","NW","19"
"2018-01-04 02:04","13","NW","21"
"2018-01-04 02:19","10","WNW","18"
"2018-01-04 02:24","11","WNW","17"
"2018-01-04 02:44","13","NW","21"
"2018-01-04 03:04","9","W","17"
"2018-01-04 03:24","9","NW","17"
"2018-01-04 03:44","8","WNW","14"
"2018-01-04 04:04","10","WNW","15"
"2018-01-04 04:24","11","WNW","19"
"2018-01-04 04:44","8","NW","17"
"2018-01-04 05:04","10","NW","25"
"2018-01-04 05:24","9","NW","20"
"2018-01-04 05:44","11","NW","21"
"2018-01-04 06:04","6","NW","13"
"2018-01-04 06:24","6","NNW","20"
"2018-01-04 06:44","6","N","14"
"2018-01-04 07:04","9","NW","19"
"2018-01-04 07:24","9","N","16"
"2018-01-04 07:44","9","NNW","15"
"2018-01-04 08:04","8","NNW","19"
"2018-01-04 08:24","4","ENE","18"
"2018-01-04 08:44","9","NNW","17"
"2018-01-04 09:04","11","NNE","23"
"2018-01-04 09:24","5","N","24"
"2018-01-04 09:44","12","NNE","30"
"2018-01-04 10:04","12","NNE","27"
"2018-01-04 10:24","11","NNE","20"
"2018-01-04 10:44","5","NNE","28"
"2018-01-04 11:04","13","N","27"
"2018-01-04 11:24","12","N","32"
"2018-01-04 11:44","11","NNW","24"
"2018-01-04 11:54","12","N","23"
"2018-01-04 12:04","14","N","26"
"2018-01-04 12:14","13","NNE","29"
"2018-01-04 12:24","8","N","22"
"2018-01-04 12:34","10","NNE","34"
"2018-01-04 12:44","17","NNE","34"
"2018-01-04 12:54","13","NNE","28"
"2018-01-04 13:04","10","N","26"
"2018-01-04 13:14","9","NE","35"
"2018-01-04 13:24","12","N","31"
"2018-01-04 13:34","13","NNE","36"
"2018-01-04 13:44","9","NNW","23"
"2018-01-04 13:54","10","NNW","39"
"2018-01-04 14:04","16","NNW","31"
"2018-01-04 14:14","8","NNW","29"
"2018-01-04 14:24","13","N","32"
"2018-01-04 14:34","10","NNW","32"
"2018-01-04 14:44","9","N","29"
"2018-01-04 14:54","12","N","24"
"2018-01-04 15:04","6","N","27"
"2018-01-04 15:14","9","NNW","26"
"2018-01-04 15:24","8","NNE","28"
"2018-01-04 15:34","6","NNW","26"
"2018-01-04 15:44","10","NNW","24"
"2018-01-04 15:54","11","NW","28"
"2018-01-04 16:04","13","NNW","31"
"2018-01-04 16:14","12","NNW","25"
"2018-01-04 16:24","9","N","18"
"2018-01-04 16:34","8","NNW","25"
"2018-01-04 16:44","10","NNE","24"
"2018-01-04 16:54","6","N","26"
"2018-01-04 17:04","12","N","26"
"2018-01-04 17:14","5","NNE","26"
"2018-01-04 17:24","7","N","26"
"2018-01-04 17:34","7","N","21"
"2018-01-04 17:44","6","NE","20"
"2018-01-04 17:54","5","NW","18"
"2018-01-04 18:04","12","NNW","27"
"2018-01-04 18:14","11","NW","28"
"2018-01-04 18:24","9","NW","27"
"2018-01-04 18:34","15","N","24"
"2018-01-04 18:44","12","NW","24"
"2018-01-04 18:54","12","N","26"
"2018-01-04 19:04","8","NW","25"
"2018-01-04 19:14","9","NNW","30"
"2018-01-04 19:24","10","NW","29"
"2018-01-04 19:34","10","NNW","27"
"2018-01-04 19:44","11","NNW","22"
"2018-01-04 19:54","8","NNW","19"
"2018-01-04 20:04","8","N","21"
"2018-01-04 20:14","12","N","28"
"2018-01-04 20:24","17","NNW","28"
"2018-01-04 20:34","12","NNW","27"
"2018-01-04 20:44","10","NW","27"
"2018-01-04 20:54","6","N","21"
"2018-01-04 21:04","10","NNW","18"
"2018-01-04 21:14","9","N","23"
"2018-01-04 21:24","11","NNE","23"
"2018-01-04 21:34","6","N","24"
"2018-01-04 21:44","8","NNW","23"
"2018-01-04 21:54","13","NNE","24"
"2018-01-04 22:04","11","NNE","24"
"2018-01-04 22:14","10","N","27"
"2018-01-04 22:24","11","N","23"
"2018-01-04 22:34","5","NNW","25"
"2018-01-04 22:44","10","NE","23"
"2018-01-04 22:54","10","N","26"
"2018-01-04 23:04","10","NW","25"
"2018-01-04 23:14","6","NNE","27"
"2018-01-04 23:24","8","NNW","21"
"2018-01-04 23:34","7","NNW","20"
"2018-01-04 23:44","5","N","24"
"2018-01-04 23:54","13","NNW","27"
"2018-01-05 00:04","8","NE","26"
"2018-01-05 00:14","9","N","27"
"2018-01-05 00:24","10","NNE","21"
"2018-01-05 00:34","5","NNE","22"
"2018-01-05 00:44","10","NNW","26"
"2018-01-05 00:54","7","N","25"
"2018-01-05 01:04","8","NNE","26"
"2018-01-05 01:14","10","N","20"
"2018-01-05 01:24","11","N","23"
"2018-01-05 01:34","12","N","23"
"2018-01-05 01:44","11","NNE","24"
"2018-01-05 01:54","10","NNE","24"
"2018-01-05 02:04","8","NNW","21"
"2018-01-05 02:14","8","N","26"
"2018-01-05 02:24","10","NNE","29"
"2018-01-05 02:34","12","N","27"
"2018-01-05 02:44","10","N","25"
"2018-01-05 02:54","13","NNW","26"
"2018-01-05 03:04","8","NNW","19"
"2018-01-05 03:14","13","N","24"
"2018-01-05 03:24","9","N","28"
"2018-01-05 03:34","8","NNE","27"
"2018-01-05 03:44","12","NNE","25"
"2018-01-05 03:54","10","NNE","28"
"2018-01-05 04:04","8","NNE","21"
"2018-01-05 04:14","7","NNE","21"
"2018-01-05 04:24","9","NNE","22"
"2018-01-05 04:34","6","NW","19"
"2018-01-05 04:44","11","N","22"
"2018-01-05 04:54","10","N","24"
"2018-01-05 05:04","6","N","19"
"2018-01-05 05:14","12","NNW","19"
"2018-01-05 05:24","7","NW","18"
"2018-01-05 05:34","6","N","19"
"2018-01-05 05:44","10","NNW","19"
"2018-01-05 05:54","9","NW","23"
"2018-01-05 06:04","7","NNW","19"
"2018-01-05 06:14","9","NNW","20"
"2018-01-05 06:24","10","NNW","25"
"2018-01-05 06:34","8","NNW","22"
"2018-01-05 06:44","9","N","21"
"2018-01-05 06:54","14","NNW","24"
"2018-01-05 07:04","10","WNW","23"
"2018-01-05 07:14","9","NW","21"
"2018-01-05 07:24","7","N","26"
"2018-01-05 07:34","13","NNW","24"
"2018-01-05 07:44","9","NW","21"
"2018-01-05 07:54","9","NNW","23"
"2018-01-05 08:04","10","NNW","25"
"2018-01-05 08:14","7","NW","23"
"2018-01-05 08:24","7","NNW","21"
"2018-01-05 08:34","10","NW","20"
"2018-01-05 08:44","5","N","19"
"2018-01-05 08:54","7","N","18"
"2018-01-05 09:04","7","NW","22"
"2018-01-05 09:14","10","NNW","21"
"2018-01-05 09:24","6","NNW","17"
"2018-01-05 09:34","6","NW","19"
"2018-01-05 09:44","7","NNW","26"
"2018-01-05 09:54","7","NNE","18"
"2018-01-05 10:04","8","NW","22"
"2018-01-05 10:14","10","NW","22"
"2018-01-05 10:24","13","NW","26"
"2018-01-05 10:34","5","NW","28"
"2018-01-05 10:44","10","NNW","21"
"2018-01-05 10:54","7","NNW","24"
"2018-01-05 11:04","12","NW","27"
"2018-01-05 11:14","9","NW","22"
"2018-01-05 11:24","9","NW","26"
"2018-01-05 11:34","10","NW","22"
"2018-01-05 11:44","5","NNW","26"
"2018-01-05 11:54","8","NW","24"
"2018-01-05 12:04","11","NW","18"
"2018-01-05 12:14","10","NW","24"
"2018-01-05 12:24","12","NNW","20"
"2018-01-05 12:34","6","NW","23"
"2018-01-05 12:44","11","NNW","23"
"2018-01-05 12:54","11","WNW","24"
"2018-01-05 13:04","9","NW","23"
"2018-01-05 13:14","12","NNW","22"
"2018-01-05 13:24","8","NW","21"
"2018-01-05 13:34","10","NW","23"
"2018-01-05 13:44","10","NW","21"
"2018-01-05 13:54","12","NNW","26"
"2018-01-05 14:04","12","NW","24"
"2018-01-05 14:14","13","NW","24"
"2018-01-05 14:24","12","NW","25"
"2018-01-05 14:34","11","NW","23"
"2018-01-05 14:44","17","WNW","25"
"2018-01-05 14:54","11","WNW","27"
"2018-01-05 15:04","18","WNW","27"
"2018-01-05 15:14","9","NW","22"
"2018-01-05 15:24","10","W","21"
"2018-01-05 15:34","12","NW","25"
"2018-01-05 15:44","15","NW","24"
"2018-01-05 15:54","14","NW","27"
"2018-01-05 16:04","13","WNW","21"
"2018-01-05 16:14","14","NW","22"
"2018-01-05 16:24","10","WNW","18"
"2018-01-05 16:34","11","NW","20"
"2018-01-05 16:44","6","NW","17"
"2018-01-05 16:54","7","NW","23"
"2018-01-05 17:04","12","NNW","28"
"2018-01-05 17:14","10","NNW","21"
"2018-01-05 17:24","9","NNW","27"
"2018-01-05 17:34","6","NW","25"
"2018-01-05 17:44","14","NW","27"
"2018-01-05 17:54","14","NNW","26"
"2018-01-05 18:04","15","NW","33"
"2018-01-05 18:14","12","NW","29"
"2018-01-05 18:24","8","NW","27"
"2018-01-05 18:34","15","NNW","27"
"2018-01-05 18:44","10","WNW","26"
"2018-01-05 18:54","14","NNW","27"
"2018-01-05 19:04","11","NW","28"
"2018-01-05 19:14","12","NNW","32"
"2018-01-05 19:24","14","NW","27"
"2018-01-05 19:34","12","NW","31"
"2018-01-05 19:44","11","NNW","27"
"2018-01-05 19:54","11","NW","22"
"2018-01-05 20:04","11","W","30"
"2018-01-05 20:14","11","NNW","24"
"2018-01-05 20:24","11","NW","27"
"2018-01-05 20:34","17","NW","33"
"2018-01-05 20:44","14","NW","32"
"2018-01-05 20:54","11","NW","27"
"2018-01-05 21:04","11","NNW","25"
"2018-01-05 21:14","9","NNW","26"
"2018-01-05 21:24","12","NW","28"
"2018-01-05 21:34","13","NW","27"
"2018-01-05 21:44","14","NW","23"
"2018-01-05 21:54","10","NNW","27"
"2018-01-05 22:04","14","NNW","28"
"2018-01-05 22:14","9","N","29"
"2018-01-05 22:24","9","NNW","26"
"2018-01-05 22:34","12","NW","23"
"2018-01-05 22:44","9","NW","19"
"2018-01-05 22:54","8","N","19"
"2018-01-05 23:04","10","NW","24"
"2018-01-05 23:14","12","NW","21"
"2018-01-05 23:24","10","NW","23"
"2018-01-05 23:34","13","NW","25"
"2018-01-05 23:44","9","NW","19"
"2018-01-05 23:54","6","WNW","24"
"2018-01-06 00:04","10","NW","22"
"2018-01-06 00:14","10","NNW","24"
"2018-01-06 00:24","13","NW","24"
"2018-01-06 00:34","12","NNW","19"
"2018-01-06 00:44","6","NW","16"
"2018-01-06 00:54","8","NW","24"
"2018-01-06 01:04","10","NNW","27"
"2018-01-06 01:14","9","NNW","22"
"2018-01-06 01:24","9","NNW","18"
